Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Male,0.000332128,0.004761238,0.02155024,0.04334658,-0.000133683,0.00056678,3.62757E-05,0.00059628
All: LAG 6,-0.00217928,0.002064862,0.01005535,0.01897473,-9.1832E-05,0.000248672,-0.000372546,0.000259068
Female,-0.000843516,0.002571866,0.03049461,0.02349445,-0.00011018,0.00030871,-0.000151679,0.000322185
Male,-0.003273477,0.002296763,-0.006976769,0.021218512,-7.34728E-05,0.000277362,-0.000552937,0.000288534
Warm All,-0.006993079,0.002466827,-0.06741664,0.030037,-0.000144981,0.000292999,-0.000737618,0.000344059
Warm Female,-0.008870016,0.002943293,-0.05899074,0.03589262,-0.000288376,0.000348002,-0.000922288,0.000411413
Warm Male,-0.005486758,0.00287833,-0.07371003,0.03502428,-2.83362E-05,0.000342718,-0.000587364,0.000400597
Cold All,0.003515843,0.00351292,0.05170576,0.02493582,-0.00014256,0.000441828,-7.37305E-05,0.000386822
Cold Female,0.009147705,0.004480448,0.07518038,0.0318452,7.76783E-05,0.000563058,0.000519292,0.00049371
Cold Male,-0.00137827,0.003774336,0.03141998,0.02679842,-0.000330607,0.000475261,-0.000587344,0.00041524
Age 0-10 All,-0.007946187,0.004109846,-0.05384028,0.03864876,0.00012981,0.000494677,-0.000854103,0.000520764
Age 0-10 Female,-0.012304531,0.005691553,-0.01593802,0.05347222,-0.000250565,0.000685372,-0.001418619,0.000721705
Age 0-10 Male,-0.004772651,0.005024431,-0.08116605,0.04732802,0.000405435,0.000604339,-0.000444672,0.000636258
Age 11-60 All,-0.001786262,0.002215443,0.01369194,0.02032819,-0.000213349,0.000267422,-0.000282517,0.000277689
Age 11-60 Female,0.000694663,0.002951584,0.04274386,0.02688098,-0.000221211,0.000354615,0.000103498,0.000369289
Age 11-60 Male,-0.003533738,0.002488091,-0.007195527,0.022961729,-0.00020241,0.000301391,-0.000554051,0.000312252
Age 60+All,6.86245E-05,0.00343732,0.03480314,0.03131383,0.000208255,0.000410505,-0.000393864,0.000430379
Age 60+ Female,0.000390164,0.004087565,0.01898364,0.03718107,0.000231832,0.00048895,-0.000236995,0.000511041
Age 60+ Male,-0.000428724,0.004748251,0.05907002,0.04333216,0.000170337,0.000565695,-0.000637272,0.000595894
All: LAG 7,-0.000817915,0.002063553,-0.001804062,0.019072237,0.00026602,0.000247269,-0.000220472,0.000259129
Female,0.002258977,0.002572519,0.01829488,0.02365263,0.000326708,0.000307229,1.39131E-05,0.000322638
Male,-0.0033208,0.002295967,-0.01853263,0.02132609,0.000217713,0.000275997,-0.00041114,0.000288698
Warm All,-0.005150441,0.002466489,-0.07557912,0.03029325,0.000270821,0.000289702,-0.000508066,0.000344531
Warm Female,-0.005194722,0.002945438,-0.06709348,0.03628472,0.000194487,0.000344257,-0.000543213,0.000411868
