Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm All,-0.013504,0.004066,-0.066104,0.036915,-0.000725,0.000521,-0.001780,0.000512
Warm Female,-0.015370,0.005190,-0.096499,0.046945,-0.000250,0.000663,-0.002343,0.000655
Warm Male,-0.011733,0.004857,-0.036838,0.044177,-0.001174,0.000622,-0.001254,0.000611
Cold All,0.000939,0.004336,0.015760,0.039296,-0.000218,0.000458,0.000261,0.000557
Cold Female,0.000131,0.005629,0.016709,0.050936,-0.000498,0.000594,0.000611,0.000724
Cold Male,0.001718,0.005506,0.014937,0.049971,0.000056,0.000581,-0.000073,0.000707
Age 0-10 All,-0.017630,0.011174,-0.073578,0.102762,-0.000947,0.001331,-0.001500,0.001392
Age 0-10 Female,-0.020207,0.016307,-0.129547,0.149663,0.000449,0.001938,-0.001039,0.002031
Age 0-10 Male,-0.015326,0.014633,-0.027348,0.134825,-0.002074,0.001746,-0.001857,0.001824
Age 11-60 All,-0.007381,0.004108,-0.051386,0.037386,-0.000610,0.000490,-0.000867,0.000517
Age 11-60 Female,-0.010188,0.005756,-0.069734,0.052249,-0.000798,0.000684,-0.001210,0.000725
Age 11-60 Male,-0.004902,0.005428,-0.034862,0.049498,-0.000441,0.000649,-0.000568,0.000682
Age 60+All,-0.004754,0.006440,0.021950,0.058206,0.000150,0.000761,-0.000927,0.000810
Age 60+ Female,-0.002371,0.008598,0.003482,0.077584,0.000655,0.001015,-0.001002,0.001085
Age 60+ Male,-0.007408,0.009133,0.044894,0.082711,-0.000437,0.001080,-0.000810,0.001145
All: LAG 6,-0.009576,0.003489,-0.101865,0.032049,-0.000428,0.000418,-0.000984,0.000438
Female,-0.007171,0.004805,-0.117617,0.044125,-0.000309,0.000574,-0.000658,0.000605
Male,-0.011898,0.004553,-0.087161,0.041852,-0.000538,0.000547,-0.001296,0.000570
Warm All,-0.016867,0.004035,-0.155787,0.037184,-0.000260,0.000520,-0.002019,0.000507
Warm Female,-0.016534,0.005146,-0.192161,0.047398,-0.000197,0.000660,-0.001950,0.000649
Warm Male,-0.017214,0.004831,-0.121734,0.044519,-0.000312,0.000623,-0.002086,0.000605
Cold All,0.000851,0.004322,-0.017056,0.039279,-0.000733,0.000461,0.000567,0.000556
Cold Female,0.006384,0.005603,-0.004228,0.050908,-0.000648,0.000597,0.001251,0.000723
Cold Male,-0.004450,0.005477,-0.029043,0.049805,-0.000818,0.000585,-0.000077,0.000703
Age 0-10 All,0.006143,0.011093,0.007775,0.101752,0.000595,0.001316,0.001944,0.001375
Age 0-10 Female,0.010928,0.016175,-0.091703,0.148505,0.002844,0.001907,0.001418,0.002020
Age 0-10 Male,0.002217,0.014564,0.090449,0.133487,-0.001311,0.001736,0.002388,0.001795
Age 11-60 All,-0.013027,0.004097,-0.133142,0.037678,-0.000763,0.000492,-0.001767,0.000515
Age 11-60 Female,-0.009692,0.005730,-0.127888,0.052633,-0.001159,0.000686,-0.001392,0.000723
Age 11-60 Male,-0.016056,0.005412,-0.138119,0.049857,-0.000401,0.000652,-0.002108,0.000679
Age 60+All,-0.005343,0.006405,-0.053790,0.058666,0.000116,0.000764,0.000145,0.000803
Age 60+ Female,-0.006099,0.008544,-0.099858,0.078545,0.000774,0.001019,0.000504,0.001074
Age 60+ Male,-0.004576,0.009088,-0.002089,0.082886,-0.000643,0.001085,-0.000268,0.001135
All: LAG 7,-0.004899,0.003496,-0.057230,0.032379,-0.000446,0.000417,-0.000338,0.000439
Female,-0.006213,0.004800,-0.063412,0.044461,-0.000427,0.000572,-0.000274,0.000605
Male,-0.003657,0.004561,-0.051368,0.042248,-0.000463,0.000546,-0.000401,0.000571
Warm All,-0.012287,0.004032,-0.121280,0.037571,-0.000267,0.000516,-0.001482,0.000505
Warm Female,-0.011844,0.005143,-0.125976,0.047868,-0.000341,0.000656,-0.001236,0.000647
Warm Male,-0.012645,0.004823,-0.116806,0.044983,-0.000189,0.000617,-0.001706,0.000603
Cold All,0.005326,0.004323,0.037608,0.039428,-0.000790,0.000463,0.001292,0.000557
Cold Female,0.000827,0.005584,0.023714,0.051026,-0.000742,0.000597,0.000948,0.000721
Cold Male,0.009685,0.005481,0.051105,0.049915,-0.000842,0.000587,0.001629,0.000705
Age 0-10 All,0.019260,0.011174,0.183867,0.102852,-0.000327,0.001304,0.002248,0.001400
Age 0-10 Female,0.012092,0.016301,0.123198,0.149151,-0.000913,0.001897,0.000310,0.002057
Age 0-10 Male,0.025291,0.014650,0.235458,0.135532,0.000156,0.001713,0.003821,0.001824
Age 11-60 All,-0.008695,0.004100,-0.070760,0.037973,-0.000957,0.000491,-0.000781,0.000515
Age 11-60 Female,-0.007938,0.005724,-0.037781,0.052984,-0.001104,0.000684,-0.000390,0.000721
Age 11-60 Male,-0.009368,0.005410,-0.100247,0.050115,-0.000820,0.000650,-0.001130,0.000678
Age 60+All,-0.002553,0.006383,-0.100144,0.059288,0.000862,0.000762,0.000012,0.000801
Age 60+ Female,-0.007019,0.008507,-0.176533,0.079209,0.001308,0.001015,-0.000140,0.001070
Age 60+ Male,0.002515,0.009061,-0.013001,0.083947,0.000347,0.001081,0.000176,0.001133
All: LAG 8,-0.005591,0.003511,-0.056756,0.032531,-0.000222,0.000417,-0.000495,0.000441
Female,-0.009168,0.004818,-0.074868,0.044663,-0.000522,0.000572,-0.000661,0.000608
Male,-0.002193,0.004585,-0.039498,0.042459,0.000065,0.000545,-0.000344,0.000573
Warm All,-0.005255,0.004060,-0.069807,0.037816,-0.000035,0.000516,-0.000556,0.000507
Warm Female,-0.006862,0.005173,-0.071676,0.048236,-0.000343,0.000656,-0.000631,0.000648
Warm Male,-0.003734,0.004850,-0.067857,0.045128,0.000259,0.000617,-0.000491,0.000603
Cold All,-0.008063,0.004318,-0.050211,0.039566,-0.000574,0.000462,-0.000799,0.000560
Cold Female,-0.014524,0.005580,-0.088653,0.051118,-0.000903,0.000598,-0.000993,0.000726
Cold Male,-0.001754,0.005494,-0.012536,0.050338,-0.000255,0.000586,-0.000613,0.000709
