Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Male,0.010689154,0.009513233,-0.05638101,0.08078345,0.001207707,0.001092526,0.000440704,0.001168198
Age 11-60 All,0.005905659,0.005536555,-0.01720505,0.0492409,0.00060833,0.00063424,0.000791689,0.000687949
Age 11-60 Female,0.002288292,0.006865135,-0.03949652,0.06103024,0.000775925,0.000784472,0.000533809,0.000852884
Age 11-60 Male,0.010088452,0.007208287,0.008283643,0.064136651,0.000416977,0.000828235,0.001093633,0.000895905
Age 60+All,-0.00021436,0.008475042,-0.09901867,0.07680581,0.00137815,0.000960786,-0.000144919,0.001062316
Age 60+ Female,0.006122469,0.010935398,-0.17469927,0.09894853,0.003198775,0.001234064,7.6723E-05,0.001371313
Age 60+ Male,-0.008946733,0.012592778,0.009125695,0.114365411,-0.001220945,0.00143594,-0.000421689,0.00157773
All: LAG 9,0.008578733,0.004739563,-0.02475931,0.04147046,0.000935116,0.000543225,0.000677965,0.000588853
Female,0.011825435,0.005576315,-0.02135112,0.04890584,0.001807486,0.000638169,0.000785486,0.000693712
Male,0.00506996,0.005867936,-0.02828344,0.05119898,-1.78148E-05,0.000673209,0.000566089,0.000727937
Warm All,0.005449105,0.005530866,-0.08091664,0.06518818,0.000781226,0.000618759,0.000671167,0.000785748
Warm Female,0.01124146,0.00685472,-0.03644223,0.08088492,0.001840955,0.000765188,0.000941896,0.000977537
Warm Male,-0.000756993,0.007375268,-0.12862174,0.08685636,-0.000367361,0.000826538,0.000394357,0.001043992
Cold All,0.010834387,0.007798107,-0.009252476,0.056254394,0.001391352,0.000932213,0.000684639,0.000866774
Cold Female,0.011771457,0.008902916,-0.0220809,0.06448719,0.002125969,0.001062693,0.0006807,0.000989945
Cold Male,0.00978137,0.009238214,0.004480828,0.066314325,0.000582913,0.001105701,0.000687605,0.001026101
Age 0-10 All,0.019389305,0.007804248,0.04160206,0.06585145,0.000108924,0.000900812,0.00196811,0.000960515
Age 0-10 Female,0.032603466,0.010384178,0.004736531,0.087550223,0.002083026,0.001204065,0.003476558,0.001274768
Age 0-10 Male,0.008415562,0.009540067,0.07288015,0.0805026,-0.001505851,0.001095862,0.00070604,0.001176574
Age 11-60 All,0.005462827,0.005541505,-0.03618943,0.04894687,0.000893491,0.000634825,0.000420289,0.00068931
Age 11-60 Female,0.005960083,0.006860139,0.001497345,0.060575603,0.001129737,0.000784908,0.00037495,0.000854194
Age 11-60 Male,0.004834041,0.007232761,-0.07973294,0.06389467,0.000611678,0.000829843,0.00047081,0.000898537
Age 60+All,0.000876186,0.008488936,-0.11211983,0.07675111,0.002406396,0.000963504,-0.000668434,0.001066978
Age 60+ Female,0.002731197,0.010984541,-0.13037892,0.09958574,0.003449602,0.001240341,-0.001580852,0.001385398
Age 60+ Male,-0.001392643,0.012589916,-0.08555742,0.11341922,0.000929274,0.001440199,0.000610843,0.001574904
All: LAG 10,0.005598568,0.004762629,-0.07774842,0.04188219,0.001128429,0.000546459,0.000148699,0.000590535
Female,0.009137514,0.005604832,-0.07251722,0.04939064,0.001698603,0.000641477,7.98011E-05,0.000696227
Male,0.001780085,0.00589634,-0.08342193,0.05174893,0.000505566,0.000678513,0.00022521,0.00072968
Warm All,0.004008871,0.005573687,-0.07148634,0.06589276,0.00113641,0.000623182,-0.000211019,0.00079058
Warm Female,0.008826227,0.006927864,-0.02687562,0.08192703,0.001601895,0.000771854,-0.000312792,0.00098776
Warm Male,-0.001156885,0.007412131,-0.11934997,0.08762667,0.00062857,0.000832645,-0.000100271,0.001045873
Cold All,0.005776416,0.007804725,-0.09251604,0.05677291,0.001551029,0.000933727,0.00033594,0.000866107
Cold Female,0.008607058,0.008876935,-0.105768,0.0648869,0.002381518,0.001060737,0.000290109,0.000985854
Cold Male,0.002680318,0.009278024,-0.07831693,0.06715251,0.000647269,0.001111482,0.000387371,0.001028737
Age 0-10 All,0.013687152,0.007864775,-0.05661188,0.06691914,0.0012564,0.000908186,0.001153505,0.000965934
Age 0-10 Female,0.0148473,0.01051506,-0.139338,0.0892177,0.00267995,0.001212411,0.000727358,0.001289758
Age 0-10 Male,0.01265317,0.009569816,0.01184404,0.08158519,8.82302E-05,0.00110603,0.00150253,0.001176308
Age 11-60 All,0.002993066,0.00556267,-0.10139189,0.04931212,0.00127347,0.000638014,-0.000316916,0.000690975
Age 11-60 Female,0.00839754,0.006889197,-0.05038584,0.06118018,0.001551741,0.000789123,0.00017797,0.000856532
Age 11-60 Male,-0.003266768,0.007266204,-0.16025713,0.06431815,0.000949259,0.000835297,-0.000887862,0.000901714
Age 60+All,0.000748673,0.008503488,-0.035437,0.07725119,0.000453034,0.000967774,-1.04442E-05,0.001064842
Age 60+ Female,0.004311646,0.010989059,-0.0402885,0.09964231,0.000908602,0.001245212,-0.001023421,0.001382701
Age 60+ Male,-0.004054982,0.012628609,-0.02811945,0.11504065,-0.000177364,0.001446238,0.001385365,0.001570965
All: LAG 11,0.008859887,0.004772667,-0.0264031,0.04240623,0.000408132,0.000546446,0.000542509,0.000591873
Female,0.007188959,0.005625177,-0.0485931,0.05008192,0.000608482,0.000642375,0.000423393,0.000697794
Male,0.010688139,0.005897611,-0.002629212,0.052264339,0.000190989,0.000676902,0.000672104,0.000730937
Warm All,0.006136568,0.005566688,0.01690414,0.06624133,0.000994522,0.000616393,-2.44953E-05,0.000790965
Warm Female,0.006013756,0.006931744,-0.05298652,0.08248823,0.001500707,0.000765031,-0.000397729,0.000987278
Warm Male,0.006297744,0.007396629,0.09161289,0.08795718,0.000450322,0.000821885,0.000372289,0.001047953
Cold All,0.010532803,0.007866613,-0.04866259,0.05782243,-0.000133106,0.000945314,0.000891789,0.000870793
Cold Female,0.007248994,0.008969118,-0.05280313,0.06618872,-0.00021886,0.001075625,0.000899683,0.000992552
Cold Male,0.014155456,0.009315435,-0.04405407,0.06815976,-3.57433E-05,0.00112154,0.000884414,0.001031397
Age 0-10 All,0.021239742,0.007873916,-0.04603263,0.06775714,0.000982811,0.000906599,0.001513181,0.000967471
Age 0-10 Female,0.02668109,0.01052881,-0.07899044,0.0905538,0.001654782,0.001213735,0.001662763,0.001292598
Age 0-10 Male,0.016809456,0.009581806,-0.0186609,0.08242212,0.000431264,0.001101396,0.001391545,0.001177455
Age 11-60 All,0.006040883,0.005571464,-0.01763591,0.04995645,0.000484307,0.000637897,0.00045095,0.000692707
Age 11-60 Female,0.00791568,0.006898477,-0.007828039,0.0619274,0.000536043,0.00078904,0.000910448,0.00085719
Age 11-60 Male,0.003890355,0.007277723,-0.02876478,0.06515855,0.000423203,0.000834177,-7.93467E-05,0.000905293
Age 60+All,-0.00262809,0.008526055,-0.01941386,0.07776892,-0.000745116,0.000966237,-0.000818309,0.001064553
Age 60+ Female,-0.02009832,0.01106093,-0.1299183,0.100879,-0.000487106,0.00124357,-0.002673102,0.001384016
Age 60+ Male,0.02142765,0.01258912,0.1326055,0.1149113,-0.001106988,0.00144377,0.001720885,0.001567385
All: LAG 12,0.00948358,0.004781946,0.01736015,0.04256286,-0.000269132,0.000547645,0.000709606,0.000591568
Female,0.007802707,0.005633048,0.02928353,0.05015139,-0.000452499,0.00064417,0.000543103,0.000696785
Male,0.011320715,0.005907645,0.004589343,0.052542439,-6.99956E-05,0.00067731,0.000894543,0.000730691
Warm All,0.008304192,0.005590684,0.08520351,0.06639163,0.000363143,0.000614918,0.000349261,0.000792749
Warm Female,0.003408956,0.006941641,0.0263178,0.08238915,0.000527363,0.000761706,-0.000561238,0.000986733
Warm Male,0.013600265,0.007431387,0.14865871,0.08829336,0.000189199,0.000819212,0.001327027,0.001050224
Cold All,0.008857711,0.007853965,-0.02028561,0.05795765,-0.000758377,0.000949599,0.000877848,0.000866862
Cold Female,0.009952728,0.008958141,0.01928639,0.06625632,-0.001264488,0.001082965,0.001067656,0.000988235
Cold Male,0.007628322,0.009303821,-0.06308888,0.06845112,-0.000214083,0.00112465,0.000669527,0.001027418
Age 0-10 All,0.020179635,0.007855309,0.01424826,0.06797813,-0.000271362,0.000907595,0.001882877,0.000962218
Age 0-10 Female,0.01988636,0.01052835,-0.02431394,0.09054665,0.000477909,0.001216026,0.001664826,0.001287766
Age 0-10 Male,0.020434993,0.009537987,0.04649729,0.0828905,-0.000880908,0.001101287,0.002064328,0.00116935
Age 11-60 All,0.007158646,0.005594316,0.01991459,0.05014107,-0.000227479,0.000639273,0.000342366,0.000693826
Age 11-60 Female,0.007822856,0.006920727,0.07109302,0.06205148,-0.001064318,0.000791205,0.000701282,0.000858038
Age 11-60 Male,0.006376664,0.007304651,-0.03928401,0.06541834,0.000741033,0.00083371,-7.36069E-05,0.000906073
Age 60+All,-0.000795664,0.008531581,0.01573034,0.07796964,-0.000394497,0.000968902,-8.65605E-05,0.001063924
Age 60+ Female,-0.007684772,0.011008607,-0.02129563,0.10060953,0.000183603,0.001243377,-0.001365107,0.001372181
Age 60+ Male,0.008976373,0.012679983,0.06782461,0.11587535,-0.001236564,0.001451301,0.001741224,0.001581761
All: LAG 13,0.008043051,0.004767493,-0.002385147,0.042154803,-0.000581456,0.000545069,0.000134768,0.000589625
Female,0.007875135,0.005622131,0.04159506,0.04966829,-0.00079625,0.000641209,-3.20497E-05,0.000695552
Male,0.008218463,0.005891425,-0.04996796,0.05211192,-0.000346451,0.000675144,0.000316814,0.00072806
Warm All,0.007381435,0.005575489,0.08280804,0.06509555,-0.000236655,0.000616292,-6.48325E-05,0.000785766
Warm Female,0.007210345,0.006929365,0.13204798,0.08085244,-0.000193349,0.000763267,-0.000455152,0.000977184
Warm Male,0.007603343,0.007417886,0.030046,0.0866423,-0.000279017,0.000822634,0.000361582,0.001044106
Cold All,0.006050281,0.007830651,-0.04713401,0.05766204,-0.00085241,0.000940866,0.000221007,0.000867237
Cold Female,0.005555637,0.008953528,-0.004696355,0.065935887,-0.001355648,0.001074104,0.000157568,0.000992157
Cold Male,0.006538323,0.009270225,-0.09343198,0.06823977,-0.000302451,0.001115581,0.000288115,0.001025876
Age 0-10 All,0.018744758,0.007858046,0.02514633,0.06736245,-0.000891097,0.00090485,0.001086715,0.000962749
