Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold Female,0.016222,0.007464,0.062997,0.065411,-0.000863,0.000804,0.001962,0.000942
Cold Male,0.020453,0.008604,0.059146,0.076578,0.002955,0.000920,0.002631,0.001089
Age 0-10 All,-0.003778,0.027755,-0.000083,0.251702,0.000511,0.003232,-0.001670,0.003493
Age 0-10 Female,-0.045178,0.037679,-0.259872,0.345440,-0.004948,0.004391,-0.009400,0.004781
Age 0-10 Male,0.031890,0.036147,0.206669,0.325093,0.005276,0.004210,0.005003,0.004529
Age 11-60 All,0.003844,0.006190,0.020414,0.055144,0.000565,0.000738,0.001314,0.000772
Age 11-60 Female,0.003635,0.007868,0.020625,0.069807,0.000605,0.000941,0.001494,0.000979
Age 11-60 Male,0.004163,0.009729,0.019855,0.087242,0.000504,0.001152,0.001016,0.001218
Age 60+All,0.013354,0.009133,0.123302,0.080814,0.001387,0.001100,0.001009,0.001137
Age 60+ Female,0.017177,0.012009,0.174898,0.106141,-0.000975,0.001452,0.001790,0.001493
Age 60+ Male,0.008123,0.013572,0.052860,0.120288,0.004492,0.001624,-0.000037,0.001691
All: LAG 7,0.011739,0.005303,0.087386,0.047447,0.000463,0.000637,0.002021,0.000660
Female,0.010795,0.006636,0.088219,0.059267,0.000364,0.000799,0.001753,0.000827
Male,0.013153,0.007923,0.086119,0.071041,0.000609,0.000947,0.002425,0.000987
Warm All,0.001824,0.005667,0.092799,0.050789,-0.000160,0.000729,0.001115,0.000707
Warm Female,0.002983,0.006834,0.126044,0.061118,-0.000339,0.000882,0.001246,0.000852
Warm Male,0.000048,0.008149,0.040544,0.073285,0.000121,0.001045,0.000914,0.001018
Cold All,0.027716,0.006061,0.057486,0.053632,0.001146,0.000654,0.003392,0.000767
Cold Female,0.023588,0.007438,0.005868,0.065644,0.001127,0.000801,0.002454,0.000943
Cold Male,0.033415,0.008557,0.130606,0.075794,0.001164,0.000924,0.004687,0.001081
Age 0-10 All,0.004860,0.027786,0.155258,0.245907,-0.000596,0.003254,0.001622,0.003479
Age 0-10 Female,-0.063220,0.038015,-0.463001,0.350684,-0.001959,0.004418,-0.007803,0.004807
Age 0-10 Male,0.062212,0.035961,0.611767,0.308496,0.000634,0.004231,0.009505,0.004479
Age 11-60 All,0.013601,0.006161,0.119944,0.055056,0.000313,0.000738,0.002442,0.000767
Age 11-60 Female,0.015827,0.007829,0.158350,0.069617,0.000345,0.000941,0.002578,0.000974
Age 11-60 Male,0.009988,0.009697,0.056293,0.087318,0.000256,0.001155,0.002220,0.001210
Age 60+All,0.008630,0.009076,0.011210,0.081444,0.000905,0.001098,0.001186,0.001130
Age 60+ Female,0.004862,0.011901,-0.037585,0.107059,0.000604,0.001443,0.000573,0.001484
Age 60+ Male,0.013712,0.013525,0.076411,0.120943,0.001326,0.001631,0.002013,0.001680
All: LAG 8,0.007513,0.005314,0.088184,0.047853,-0.000060,0.000637,0.001172,0.000661
Female,0.009116,0.006655,0.038616,0.059859,0.000212,0.000800,0.001144,0.000828
Male,0.005070,0.007910,0.162238,0.071362,-0.000455,0.000943,0.001206,0.000984
Warm All,0.002899,0.005678,0.118271,0.051207,-0.001316,0.000731,0.000762,0.000704
Warm Female,0.008937,0.006858,0.110320,0.061647,-0.000999,0.000887,0.001208,0.000850
Warm Male,-0.006376,0.008118,0.130633,0.073658,-0.001788,0.001039,0.000075,0.001008
Cold All,0.015936,0.006036,0.016324,0.053906,0.001341,0.000650,0.001758,0.000768
Cold Female,0.010349,0.007408,-0.107839,0.066165,0.001579,0.000795,0.000856,0.000944
