G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Female,0.0158537,0.01603537,0.188788,0.1449907,0.001742643,0.001867046,0.00057373,0.002022739
Age 60+ Male,-0.01430146,0.01818543,-0.1026657,0.1648545,0.00264495,0.002126776,-0.00174269,0.002293801
All: LAG 5,0.003741546,0.006402765,0.07958229,0.05813575,7.11E-06,0.000753229,0.000761307,0.000800314
Female,0.010072478,0.007896733,0.12619401,0.07140821,0.000270727,0.000931649,0.001715815,0.000984341
Male,-0.006302523,0.010091545,0.004460394,0.092239853,-0.000412636,0.001182087,-0.000779284,0.001266987
Warm All,0.001975919,0.006103742,0.04626935,0.07427089,-0.00020976,0.000709985,0.001101093,0.000858458
Warm Female,0.006081435,0.007468656,0.08126327,0.09057151,0.000248977,0.000872219,0.001708077,0.001045974
Warm Male,-0.004646037,0.009499558,-0.01139452,0.11622747,-0.000927461,0.001098104,8.50E-05,0.001345484
Cold All,0.00895157,0.006816815,0.09805643,0.04871321,0.000349187,0.000826892,0.000512861,0.000749961
Cold Female,0.018323434,0.008482049,0.15015399,0.06034476,0.000305642,0.001031078,0.001716225,0.00093171
Cold Male,-0.005756721,0.010923088,0.01469478,0.07860804,0.00040906,0.001321123,-0.001399239,0.001204336
Age 0-10 All,0.04614028,0.03124036,0.3439934,0.2819856,-0.000562308,0.003585327,0.004105181,0.003915849
Age 0-10 Female,0.06726169,0.04165478,0.277552,0.3818698,0.002428209,0.004792086,0.004539297,0.005193151
Age 0-10 Male,0.02981837,0.04005039,0.3945313,0.3563093,-0.002738308,0.004585174,0.003876336,0.005040791
Age 11-60 All,-0.005522694,0.007497651,-0.002302396,0.068076759,0.000262376,0.000883132,-7.87E-05,0.000936613
Age 11-60 Female,0.002229449,0.009313535,0.04655174,0.0842536,0.00133128,0.001102425,0.000939835,0.001160011
Age 11-60 Male,-0.01933474,0.01223123,-0.09083259,0.11196065,-0.001591832,0.001428127,-0.001935535,0.001536064
Age 60+All,0.02279406,0.01205019,0.26165076,0.10931199,-0.000569152,0.001417672,0.002578994,0.001509244
Age 60+ Female,0.02773899,0.01591656,0.35134295,0.14375931,-0.003078626,0.00186164,0.003792243,0.001990462
Age 60+ Male,0.01657623,0.018063,0.1441514,0.164986,0.002793152,0.002140045,0.001008295,0.002266978
All: LAG 6,0.016484539,0.006362597,0.13827407,0.05830334,0.000516187,0.000754373,0.002429226,0.000793573
Female,0.021485375,0.007862039,0.239420034,0.071782046,-0.000608773,0.000935651,0.003222978,0.000979072
Male,0.008632305,0.01001416,-0.02185003,0.09221091,0.002258168,0.001178748,0.001177663,0.001252576
Warm All,0.0136181,0.006113902,0.17884273,0.07437933,-0.000112261,0.000708768,0.003229272,0.000856142
Warm Female,0.011563439,0.007482372,0.238284678,0.090925346,-0.00071052,0.000870549,0.002477369,0.001048708
Warm Male,0.01670042,0.00951834,0.08215741,0.11598884,0.000830585,0.001096388,0.004393573,0.001333451
Cold All,0.022705544,0.006702446,0.12348145,0.04901493,0.001334038,0.000831688,0.001845989,0.000740131
Cold Female,0.03746157,0.008361687,0.2449882,0.06082955,-0.000538874,0.001042777,0.003869613,0.000919314
Cold Male,-0.000178492,0.010689508,-0.06936308,0.07870987,0.004210991,0.001314141,-0.001322636,0.00118615
Age 0-10 All,0.01691399,0.03053255,0.06690076,0.28502526,0.001591212,0.003533135,0.001326135,0.003838287
Age 0-10 Female,-0.01567764,0.04092733,0.1410272,0.3781611,-0.005668717,0.004726753,-0.004551243,0.005177141
Age 0-10 Male,0.04486052,0.03902123,-0.003827791,0.366507225,0.007950898,0.004528564,0.006293517,0.004891182
Age 11-60 All,0.012449668,0.007448324,0.1119035,0.06821432,0.000114205,0.000884855,0.002396126,0.00092697
Age 11-60 Female,0.018754929,0.009271226,0.18804547,0.08466296,0.000464832,0.001105991,0.003216867,0.001153025
Age 11-60 Male,0.001337971,0.012109205,-0.02391456,0.11157345,-0.000490477,0.001428041,0.000951597,0.001510305
Age 60+All,0.02768308,0.0120401,0.22354337,0.10996563,0.001384633,0.001421751,0.002722984,0.001509309
Age 60+ Female,0.03441075,0.01585029,0.412754079,0.145065373,-0.003249595,0.001875363,0.004174232,0.001980135
Age 60+ Male,0.01885537,0.01813997,-0.0190901,0.1654469,0.007376211,0.002132139,0.000825122,0.002282852
All: LAG 7,0.016888863,0.006366733,0.11695585,0.05849636,0.000586484,0.000755672,0.00231479,0.000795786
Female,0.022678762,0.007856507,0.214517775,0.071926437,0.000368867,0.000935295,0.002749425,0.000980385
Male,0.007779398,0.010031141,-0.03770997,0.09247538,0.000927957,0.00118433,0.001630634,0.001257811
Warm All,0.020838714,0.006110721,0.23116717,0.074817795,0.000587457,0.000709022,0.002999019,0.00085647
Warm Female,0.021554369,0.007486242,0.297265299,0.091238631,0.000591331,0.000870739,0.002969352,0.001045707
Warm Male,0.019632119,0.009521073,0.1257522,0.1171026,0.00057507,0.001098407,0.003041728,0.001341979
Cold All,0.015189017,0.006689706,0.06898062,0.04905593,0.000474248,0.00083215,0.001776446,0.000741147
