Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Female,0.004732,0.004630,0.041585,0.039790,0.000141,0.000592,0.000558,0.000580
Warm Male,-0.002956,0.004658,-0.019786,0.040076,-0.000654,0.000592,-0.000042,0.000585
Cold All,0.008656,0.004166,-0.011307,0.037714,0.000913,0.000438,0.000508,0.000526
Cold Female,0.011718,0.005094,0.000803,0.046257,0.001041,0.000536,0.000746,0.000644
Cold Male,0.005702,0.005221,-0.022823,0.047148,0.000792,0.000549,0.000276,0.000657
Age 0-10 All,0.061261,0.031272,-0.117080,0.280342,0.007891,0.003751,0.007238,0.003834
Age 0-10 Female,-0.026375,0.044061,-0.574206,0.385103,0.004993,0.005266,-0.001076,0.005483
Age 0-10 Male,0.118625,0.037684,0.196633,0.342252,0.009743,0.004519,0.012422,0.004570
Age 11-60 All,-0.001986,0.005081,-0.053043,0.044728,0.000205,0.000605,-0.000196,0.000635
Age 11-60 Female,-0.002152,0.007122,-0.089121,0.063129,0.001111,0.000845,-0.000743,0.000890
Age 11-60 Male,-0.001891,0.006303,-0.026228,0.055218,-0.000490,0.000752,0.000220,0.000788
Age 60+All,0.005817,0.003742,0.034328,0.032770,0.000192,0.000447,0.000570,0.000467
Age 60+ Female,0.011482,0.004757,0.082523,0.041607,0.000287,0.000571,0.001229,0.000593
Age 60+ Male,-0.000185,0.005099,-0.016917,0.044710,0.000094,0.000607,-0.000131,0.000636
All: LAG 6,-0.001243,0.003284,-0.006974,0.029300,0.000185,0.000397,-0.000401,0.000409
Female,0.003097,0.004143,0.040530,0.036857,0.000320,0.000501,0.000330,0.000516
Male,-0.005324,0.004207,-0.052009,0.037598,0.000061,0.000509,-0.001089,0.000524
Warm All,-0.010032,0.003969,-0.057600,0.035023,-0.000266,0.000513,-0.001408,0.000497
Warm Female,-0.007866,0.004607,-0.008381,0.040425,-0.000161,0.000596,-0.000844,0.000576
Warm Male,-0.012042,0.004620,-0.104297,0.040922,-0.000361,0.000597,-0.001933,0.000579
Cold All,0.016357,0.004139,0.099424,0.037374,0.000839,0.000442,0.001653,0.000523
Cold Female,0.024482,0.005047,0.145537,0.045709,0.000957,0.000541,0.002730,0.000638
Cold Male,0.008508,0.005205,0.055442,0.046831,0.000727,0.000556,0.000618,0.000656
Age 0-10 All,0.024561,0.031514,0.003237,0.283338,-0.002476,0.003725,0.000481,0.003948
Age 0-10 Female,0.017441,0.043945,0.102374,0.381473,-0.011981,0.005241,0.000257,0.005515
Age 0-10 Male,0.028612,0.038214,-0.080619,0.351168,0.003558,0.004498,0.000626,0.004779
Age 11-60 All,-0.005092,0.005042,-0.057829,0.045210,-0.000366,0.000610,-0.001175,0.000630
Age 11-60 Female,0.001567,0.007073,-0.038741,0.063610,0.000376,0.000854,-0.000336,0.000884
Age 11-60 Male,-0.010169,0.006255,-0.072313,0.055983,-0.000936,0.000758,-0.001813,0.000783
Age 60+All,0.000576,0.003728,0.019947,0.033136,0.000513,0.000451,0.000005,0.000464
Age 60+ Female,0.003650,0.004742,0.075228,0.041957,0.000382,0.000575,0.000630,0.000590
Age 60+ Male,-0.002660,0.005073,-0.039269,0.045280,0.000653,0.000613,-0.000654,0.000631
All: LAG 7,0.005116,0.003262,0.023163,0.029524,0.000388,0.000397,0.000313,0.000406
Female,0.007096,0.004117,0.052490,0.037150,0.000634,0.000500,0.000525,0.000513
Male,0.003265,0.004176,-0.004574,0.037892,0.000155,0.000510,0.000113,0.000520
Warm All,-0.002299,0.003943,-0.031503,0.035455,0.000558,0.000512,-0.000482,0.000492
Warm Female,-0.001547,0.004579,-0.024118,0.040992,0.001304,0.000593,-0.000401,0.000571
Warm Male,-0.002975,0.004584,-0.038450,0.041377,-0.000137,0.000597,-0.000554,0.000571
Cold All,0.018599,0.004112,0.120508,0.037327,0.000139,0.000443,0.001616,0.000521
Cold Female,0.023318,0.005020,0.195801,0.045543,-0.000227,0.000541,0.002175,0.000637
Cold Male,0.014096,0.005165,0.049018,0.046856,0.000490,0.000556,0.001074,0.000654
Age 0-10 All,0.014445,0.031272,-0.137514,0.282886,0.004050,0.003693,-0.000606,0.003945
Age 0-10 Female,0.025867,0.043685,0.302829,0.381035,0.002456,0.005190,0.001261,0.005533
Age 0-10 Male,0.006533,0.037778,-0.445320,0.350136,0.004978,0.004444,-0.001816,0.004754
Age 11-60 All,-0.000377,0.005018,-0.012093,0.045649,0.000209,0.000611,-0.000531,0.000626
Age 11-60 Female,0.001582,0.007052,-0.016433,0.064266,0.000683,0.000854,-0.000322,0.000880
Age 11-60 Male,-0.001852,0.006216,-0.008762,0.056512,-0.000155,0.000759,-0.000691,0.000776
Age 60+All,0.007967,0.003698,0.043364,0.033378,0.000447,0.000451,0.000773,0.000460
Age 60+ Female,0.009389,0.004707,0.080626,0.042282,0.000599,0.000573,0.000892,0.000586
Age 60+ Male,0.006464,0.005032,0.003427,0.045604,0.000288,0.000614,0.000644,0.000625
All: LAG 8,0.004548,0.003271,0.073965,0.029597,-0.000651,0.000397,0.000600,0.000405
Female,0.006878,0.004123,0.096828,0.037286,-0.000306,0.000500,0.000983,0.000510
Male,0.002351,0.004190,0.052260,0.037951,-0.000974,0.000509,0.000237,0.000519
Warm All,0.001677,0.003963,0.061237,0.035441,-0.000796,0.000513,0.000091,0.000490
Warm Female,0.001113,0.004593,0.067976,0.041005,-0.000513,0.000594,0.000114,0.000567
Warm Male,0.002173,0.004612,0.054679,0.041297,-0.001059,0.000598,0.000067,0.000570
Cold All,0.009375,0.004092,0.086038,0.037849,-0.000494,0.000441,0.001428,0.000517
Cold Female,0.016371,0.004992,0.142117,0.046165,-0.000050,0.000540,0.002495,0.000631
Cold Male,0.002650,0.005138,0.031889,0.047534,-0.000916,0.000552,0.000402,0.000649
Age 0-10 All,0.025204,0.031161,0.301562,0.283245,0.001845,0.003714,0.002702,0.003875
Age 0-10 Female,-0.036014,0.044735,-0.149097,0.397304,0.003019,0.005203,0.000009,0.005632
Age 0-10 Male,0.060965,0.037038,0.591518,0.341927,0.001069,0.004485,0.004172,0.004574
Age 11-60 All,0.000145,0.005033,0.063271,0.045765,-0.000799,0.000611,-0.000467,0.000625
Age 11-60 Female,-0.002155,0.007060,0.068957,0.064463,-0.000154,0.000857,-0.000626,0.000877
Age 11-60 Male,0.001870,0.006241,0.058777,0.056590,-0.001287,0.000758,-0.000352,0.000774
Age 60+All,0.006727,0.003706,0.077630,0.033486,-0.000598,0.000450,0.001154,0.000458
Age 60+ Female,0.011262,0.004714,0.111124,0.042499,-0.000404,0.000572,0.001714,0.000582
Age 60+ Male,0.001933,0.005047,0.041770,0.045753,-0.000802,0.000613,0.000561,0.000624
All: LAG 9,0.001476,0.003289,0.031213,0.029506,-0.000490,0.000395,0.000200,0.000406
Female,0.004131,0.004156,0.069845,0.037280,-0.000167,0.000499,0.000439,0.000513
Male,-0.001015,0.004216,-0.005061,0.037802,-0.000792,0.000506,-0.000025,0.000521
Warm All,-0.001669,0.003995,0.023830,0.035231,-0.000766,0.000513,-0.000350,0.000491
Warm Female,-0.000375,0.004635,0.062402,0.040852,-0.000410,0.000595,-0.000186,0.000569
Warm Male,-0.002865,0.004655,-0.011994,0.041038,-0.001096,0.000597,-0.000503,0.000572
Cold All,0.005898,0.004093,0.034499,0.037970,-0.000279,0.000438,0.001030,0.000519
Cold Female,0.010074,0.005004,0.065515,0.046425,0.000014,0.000536,0.001254,0.000635
Cold Male,0.001888,0.005136,0.004480,0.047610,-0.000553,0.000550,0.000813,0.000650
Age 0-10 All,0.058837,0.031475,0.412078,0.279486,0.003131,0.003691,0.004250,0.003973
Age 0-10 Female,0.093895,0.044695,0.447735,0.380609,0.003429,0.005105,0.009912,0.005623
Age 0-10 Male,0.035901,0.037653,0.371923,0.343223,0.002909,0.004487,0.000640,0.004770
Age 11-60 All,-0.007135,0.005071,-0.027709,0.045763,0.000146,0.000608,-0.001277,0.000628
Age 11-60 Female,-0.006059,0.007121,-0.009107,0.064527,0.000418,0.000852,-0.000918,0.000883
Age 11-60 Male,-0.007945,0.006288,-0.041818,0.056546,-0.000059,0.000754,-0.001548,0.000778
Age 60+All,0.005577,0.003727,0.058836,0.033359,-0.000873,0.000448,0.000956,0.000459
Age 60+ Female,0.008068,0.004748,0.101303,0.042448,-0.000464,0.000571,0.000979,0.000585
Age 60+ Male,0.002955,0.005080,0.013821,0.045522,-0.001302,0.000611,0.000933,0.000626
All: LAG 10,-0.000625,0.003308,-0.014720,0.029769,0.000247,0.000395,-0.000203,0.000410
Female,-0.001145,0.004178,-0.011542,0.037565,0.000496,0.000499,-0.000370,0.000517
Male,-0.000142,0.004241,-0.017703,0.038155,0.000012,0.000507,-0.000047,0.000525
Warm All,-0.003143,0.004022,-0.029849,0.035722,0.000402,0.000511,-0.000523,0.000495
Warm Female,-0.000779,0.004663,0.002568,0.041369,0.000806,0.000594,-0.000334,0.000574
Warm Male,-0.005352,0.004690,-0.060164,0.041679,0.000027,0.000595,-0.000701,0.000578
Cold All,0.002200,0.004115,0.005022,0.037880,-0.000043,0.000442,0.000099,0.000523
Cold Female,-0.004732,0.005035,-0.055084,0.046386,0.000057,0.000540,-0.000929,0.000641
Cold Male,0.008809,0.005150,0.061910,0.047270,-0.000147,0.000554,0.001075,0.000653
Age 0-10 All,0.019277,0.031543,-0.313520,0.284585,0.007330,0.003713,-0.001379,0.003991
Age 0-10 Female,0.003504,0.044335,-0.095234,0.388108,0.002916,0.005188,-0.001253,0.005614
Age 0-10 Male,0.027984,0.037930,-0.466578,0.350247,0.010215,0.004485,-0.001526,0.004799
Age 11-60 All,-0.005890,0.005092,-0.028649,0.046019,0.000748,0.000607,-0.001247,0.000632
Age 11-60 Female,0.001080,0.007140,-0.018309,0.064763,0.002274,0.000850,-0.000828,0.000887
Age 11-60 Male,-0.011228,0.006321,-0.036619,0.056873,-0.000420,0.000754,-0.001569,0.000785
Age 60+All,0.002044,0.003755,-0.004240,0.033712,-0.000097,0.000449,0.000369,0.000464
Age 60+ Female,-0.002241,0.004783,-0.008224,0.042859,-0.000338,0.000572,-0.000165,0.000591
Age 60+ Male,0.006576,0.005113,-0.000294,0.046017,0.000160,0.000612,0.000933,0.000632
All: LAG 11,-0.000204,0.003312,-0.018837,0.029905,0.000243,0.000394,-0.000003,0.000410
Female,0.002471,0.004185,0.007132,0.037751,0.000291,0.000498,0.000026,0.000518
Male,-0.002719,0.004246,-0.043171,0.038284,0.000199,0.000504,-0.000031,0.000526
Warm All,-0.003974,0.004033,-0.034458,0.035887,0.000040,0.000507,-0.000341,0.000497
Warm Female,-0.000063,0.004680,0.012019,0.041538,0.000260,0.000589,-0.000264,0.000576
Warm Male,-0.007609,0.004699,-0.078048,0.041876,-0.000164,0.000589,-0.000412,0.000580
Cold All,0.004661,0.004106,0.001581,0.037981,0.000567,0.000443,0.000303,0.000522
Cold Female,0.004966,0.005022,-0.009471,0.046584,0.000409,0.000542,0.000264,0.000640
Cold Male,0.004343,0.005141,0.011678,0.047270,0.000713,0.000555,0.000339,0.000653
Age 0-10 All,-0.006036,0.031947,-0.559974,0.292183,0.004670,0.003722,-0.003666,0.004010
Age 0-10 Female,-0.019412,0.044100,-0.365284,0.402669,-0.003773,0.005139,-0.004177,0.005590
Age 0-10 Male,0.003254,0.038926,-0.689460,0.357004,0.010192,0.004537,-0.003364,0.004853
Age 11-60 All,-0.005525,0.005095,-0.039503,0.046118,0.000301,0.000605,-0.000753,0.000633
Age 11-60 Female,0.003471,0.007152,0.018442,0.064717,0.000407,0.000849,-0.000078,0.000888
Age 11-60 Male,-0.012412,0.006320,-0.083982,0.057136,0.000221,0.000752,-0.001278,0.000786
Age 60+All,0.002724,0.003760,-0.002884,0.033868,0.000169,0.000447,0.000432,0.000465
Age 60+ Female,0.002098,0.004790,0.003919,0.043144,0.000274,0.000570,0.000087,0.000593
Age 60+ Male,0.003366,0.005123,-0.010182,0.046090,0.000059,0.000608,0.000794,0.000633
All: LAG 12,0.002116,0.003314,0.015374,0.029953,0.000473,0.000392,0.000141,0.000410
Female,0.008954,0.004187,0.058486,0.037800,0.000745,0.000496,0.000729,0.000518
Male,-0.004316,0.004249,-0.025217,0.038380,0.000218,0.000503,-0.000413,0.000527
Warm All,0.000115,0.004026,0.019586,0.036137,0.000253,0.000504,0.000024,0.000498
Warm Female,0.005226,0.004671,0.063123,0.041824,0.000371,0.000587,0.000606,0.000576
Warm Male,-0.004659,0.004694,-0.021278,0.042200,0.000144,0.000587,-0.000522,0.000582
Cold All,0.003562,0.004128,0.002630,0.037684,0.000801,0.000441,0.000107,0.000521
Cold Female,0.013306,0.005050,0.044388,0.046161,0.001365,0.000540,0.000615,0.000639
Cold Male,-0.005740,0.005167,-0.037249,0.047013,0.000264,0.000553,-0.000378,0.000651
Age 0-10 All,0.010870,0.031807,0.134647,0.289521,0.000129,0.003715,-0.001258,0.003975
Age 0-10 Female,0.082126,0.043578,0.328087,0.398606,0.006752,0.005204,0.004261,0.005452
Age 0-10 Male,-0.035501,0.038926,0.034974,0.353969,-0.004286,0.004488,-0.004890,0.004865
Age 11-60 All,-0.002783,0.005106,0.006284,0.046289,0.000909,0.000604,-0.000535,0.000633
