Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Female,-0.066198,0.046527,-0.452943,0.395859,-0.001179,0.005622,-0.005562,0.005752
Age 0-10 Male,0.011057,0.039727,0.282420,0.335178,-0.010101,0.004854,0.003268,0.004967
Age 11-60 All,-0.003406,0.003344,-0.028608,0.030161,0.000142,0.000400,-0.000269,0.000416
Age 11-60 Female,-0.001894,0.004636,-0.021883,0.041759,0.000176,0.000557,-0.000072,0.000574
Age 11-60 Male,-0.004746,0.004435,-0.034433,0.040017,0.000112,0.000529,-0.000447,0.000553
Age 60+All,-0.006127,0.007286,-0.061903,0.066998,-0.000890,0.000865,0.000237,0.000906
Age 60+ Female,-0.027891,0.009786,-0.154016,0.090401,-0.001838,0.001162,-0.001273,0.001220
Age 60+ Male,0.020374,0.010594,0.047391,0.096763,0.000247,0.001261,0.002082,0.001317
All: LAG 10,0.000558,0.003107,0.003455,0.028109,-0.000049,0.000371,-0.000037,0.000386
Female,-0.005085,0.004241,-0.031443,0.038241,-0.000395,0.000508,-0.000218,0.000525
Male,0.005728,0.004186,0.035643,0.037882,0.000265,0.000499,0.000128,0.000521
Warm All,0.000682,0.002869,-0.027242,0.035213,0.000258,0.000334,-0.000050,0.000398
Warm Female,-0.003500,0.003931,-0.041128,0.048101,-0.000374,0.000458,-0.000648,0.000544
Warm Male,0.004467,0.003993,-0.014627,0.048928,0.000828,0.000464,0.000492,0.000554
Cold All,0.000952,0.003393,0.022347,0.024394,-0.000703,0.000428,-0.000046,0.000375
Cold Female,-0.006533,0.004617,-0.022376,0.033210,-0.000631,0.000585,0.000108,0.000509
Cold Male,0.007941,0.004441,0.063892,0.031887,-0.000770,0.000559,-0.000193,0.000492
Age 0-10 All,-0.002129,0.034352,0.216999,0.285158,-0.000970,0.004155,0.001891,0.004217
Age 0-10 Female,-0.070216,0.046382,-0.665403,0.389255,0.009224,0.005552,-0.001559,0.005589
Age 0-10 Male,0.032631,0.039597,0.663674,0.328541,-0.006624,0.004808,0.003685,0.004909
Age 11-60 All,0.000562,0.003355,0.005812,0.030310,-0.000060,0.000401,-0.000042,0.000416
Age 11-60 Female,-0.003335,0.004656,-0.022037,0.041898,-0.000411,0.000559,-0.000127,0.000576
Age 11-60 Male,0.003960,0.004450,0.030472,0.040262,0.000243,0.000531,0.000029,0.000553
Age 60+All,0.000752,0.007331,-0.020833,0.067168,0.000049,0.000868,-0.000072,0.000914
Age 60+ Female,-0.012295,0.009853,-0.060187,0.090249,-0.000564,0.001162,-0.000635,0.001229
Age 60+ Male,0.016695,0.010661,0.027336,0.097595,0.000790,0.001268,0.000622,0.001328
All: LAG 11,0.003415,0.003112,0.010165,0.028359,-0.000076,0.000370,0.000175,0.000385
Female,-0.000770,0.004258,-0.023216,0.038651,-0.000275,0.000507,0.000153,0.000527
Male,0.007210,0.004186,0.040850,0.038228,0.000106,0.000498,0.000190,0.000519
Warm All,0.006769,0.002860,-0.005478,0.035564,0.000800,0.000330,0.000392,0.000397
Warm Female,0.000348,0.003930,-0.070521,0.048744,0.000643,0.000453,-0.000300,0.000546
Warm Male,0.012533,0.003977,0.052851,0.049408,0.000942,0.000459,0.001010,0.000552
Cold All,-0.000295,0.003414,0.023675,0.024591,-0.001602,0.000430,-0.000041,0.000375
Cold Female,-0.001261,0.004657,0.001304,0.033485,-0.001632,0.000588,0.000439,0.000510
Cold Male,0.000620,0.004454,0.044857,0.032129,-0.001581,0.000560,-0.000486,0.000490
Age 0-10 All,-0.012761,0.034752,0.029502,0.295252,0.002805,0.004200,-0.001050,0.004282
Age 0-10 Female,-0.033915,0.046773,-0.597539,0.410415,0.015862,0.005667,-0.005135,0.005777
