Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm All,0.02950845,0.003009989,0.2775309,0.03414591,0.001270223,0.000367122,0.003527771,0.000423026
Warm Female,0.03050279,0.003806333,0.3128767,0.04307901,0.001194651,0.000460859,0.003927354,0.000534465
Warm Male,0.02855583,0.003583085,0.2440862,0.04062297,0.001343707,0.000436577,0.003153894,0.000502611
Cold All,0.003909057,0.005990468,0.01883791,0.04106674,0.003003141,0.000728248,0.001394192,0.000656189
Cold Female,-0.000769074,0.006676014,-0.02038472,0.04582227,0.003871222,0.000806676,0.000946716,0.000732748
Cold Male,0.00850843,0.005953873,0.05738391,0.04076364,0.002134851,0.000728657,0.001833878,0.00065098
Age 0-10 All,0.026786096,0.00646429,0.09177533,0.05283425,0.001579405,0.000791778,0.003929107,0.000777265
Age 0-10 Female,0.021666773,0.008151549,0.07135549,0.06606131,0.001849182,0.000988781,0.003743452,0.000978814
Age 0-10 Male,0.03017514,0.007077364,0.10599966,0.05813836,0.001389414,0.000872215,0.004051753,0.000852233
Age 11-60 All,0.01456925,0.00534153,0.09919359,0.04482248,0.001536555,0.000642772,0.002151349,0.000656488
Age 11-60 Female,0.013202957,0.006204455,0.07540361,0.05198374,0.00174374,0.000744535,0.001954895,0.00076282
Age 11-60 Male,0.016023599,0.005883949,0.12500365,0.04944968,0.001310066,0.000710294,0.00236271,0.000723027
Age 60+All,0.016725365,0.005842439,0.09767268,0.04902999,0.003181532,0.000701328,0.001509865,0.000721026
Age 60+ Female,0.01699101,0.00735142,0.08038548,0.06152103,0.004037103,0.000879323,0.00186393,0.000905584
Age 60+ Male,0.016442254,0.006982067,0.11664157,0.05874762,0.00223003,0.000842922,0.001118213,0.000863184
All: LAG 5,0.013534097,0.004720897,0.08279365,0.0393988,0.001344382,0.000571739,0.002095393,0.000574981
Female,0.013846743,0.005426114,0.08161731,0.04512801,0.001212071,0.000654515,0.002273678,0.0006609
Male,0.013211469,0.004880169,0.08379946,0.04086009,0.001473568,0.000593284,0.001923402,0.000594526
Warm All,0.02511129,0.003016022,0.2289528,0.03418066,0.001049982,0.000366681,0.003224364,0.000421903
Warm Female,0.02893006,0.0038001,0.2672486,0.0429826,0.000990915,0.00046032,0.003796381,0.000531862
Warm Male,0.0214638,0.003598196,0.1920664,0.04076261,0.001107913,0.000436328,0.002684253,0.000502526
Cold All,0.001089087,0.005961504,0.0183727,0.04109909,0.002085703,0.000732286,0.001130503,0.000650156
Cold Female,-0.001007082,0.006659389,0.003671521,0.045842942,0.001904811,0.000813718,0.001114705,0.000726988
Cold Male,0.003096219,0.005911689,0.03267471,0.04081383,0.002267422,0.000730154,0.001142554,0.000644176
Age 0-10 All,0.02520236,0.006428106,0.1476141,0.052587714,0.00037079,0.000790426,0.003526116,0.000771112
Age 0-10 Female,0.028155065,0.00807629,0.16612475,0.06556652,-0.00090104,0.000986753,0.004402249,0.000967694
Age 0-10 Male,0.023121202,0.007068989,0.13438316,0.05811577,0.001255282,0.000872053,0.002925134,0.000849092
Age 11-60 All,0.009475506,0.005337375,0.077392,0.0448735,0.001312563,0.000644439,0.001883095,0.000652938
Age 11-60 Female,0.009892806,0.006207569,0.0893091,0.05199491,0.001162086,0.000747949,0.002024933,0.00075853
Age 11-60 Male,0.008995615,0.005867343,0.06417988,0.04953298,0.00147269,0.000710162,0.001727846,0.000718879
