Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 7,0.001298,0.005948,-0.016505,0.053934,0.001558,0.000737,-0.000120,0.000743
Female,0.001380,0.006484,0.015580,0.058659,0.001476,0.000806,-0.000113,0.000809
Male,0.001201,0.006523,-0.059472,0.059324,0.001667,0.000806,-0.000131,0.000815
Warm All,0.013236,0.004974,0.046157,0.057385,0.002742,0.000609,0.002405,0.000690
Warm Female,0.014649,0.005553,0.132967,0.063738,0.002397,0.000683,0.002655,0.000770
Warm Male,0.011384,0.005527,-0.071463,0.064138,0.003198,0.000673,0.002075,0.000768
Cold All,-0.015101,0.007128,-0.048804,0.051964,-0.000375,0.000907,-0.002304,0.000790
Cold Female,-0.017051,0.007640,-0.047525,0.055688,-0.000066,0.000974,-0.002560,0.000847
Cold Male,-0.012549,0.007745,-0.050544,0.056457,-0.000788,0.000984,-0.001972,0.000859
Age 0-10 All,0.017322,0.014255,0.038320,0.130525,0.001144,0.001685,0.001057,0.001796
Age 0-10 Female,0.017869,0.020515,0.105489,0.183712,0.001606,0.002427,0.001689,0.002572
Age 0-10 Male,0.016992,0.018544,-0.022033,0.173017,0.000784,0.002191,0.000528,0.002346
Age 11-60 All,-0.005477,0.005222,-0.046629,0.047167,0.000919,0.000632,-0.001227,0.000654
Age 11-60 Female,-0.002563,0.006789,0.037326,0.061227,0.000846,0.000821,-0.001485,0.000850
Age 11-60 Male,-0.008745,0.007122,-0.140268,0.064400,0.001010,0.000864,-0.000949,0.000893
Age 60+All,0.003994,0.008014,-0.003387,0.072768,0.001957,0.001010,0.000406,0.000999
Age 60+ Female,0.002626,0.008437,0.002160,0.076465,0.001802,0.001065,0.000462,0.001051
Age 60+ Male,0.006073,0.009014,-0.011650,0.082100,0.002191,0.001133,0.000323,0.001123
All: LAG 8,0.006733,0.005998,0.091328,0.054125,0.001032,0.000735,0.000216,0.000744
Female,0.011035,0.006530,0.133352,0.058903,0.001210,0.000802,0.000872,0.000809
Male,0.000994,0.006588,0.035096,0.059493,0.000798,0.000805,-0.000662,0.000818
Warm All,0.018937,0.005087,0.213131,0.058318,0.002112,0.000608,0.002032,0.000705
Warm Female,0.024999,0.005669,0.299823,0.064817,0.002405,0.000679,0.002870,0.000786
Warm Male,0.010859,0.005663,0.096300,0.065121,0.001725,0.000674,0.000917,0.000784
Cold All,-0.010052,0.007038,0.031105,0.051810,-0.000933,0.000906,-0.001281,0.000777
Cold Female,-0.008459,0.007532,0.048311,0.055520,-0.000842,0.000972,-0.000845,0.000830
Cold Male,-0.012254,0.007654,0.007358,0.056249,-0.001035,0.000982,-0.001878,0.000847
Age 0-10 All,0.001728,0.014357,-0.165495,0.130662,0.002030,0.001684,-0.001423,0.001817
Age 0-10 Female,0.013920,0.020782,-0.021452,0.186080,0.002000,0.002426,0.001158,0.002621
Age 0-10 Male,-0.007866,0.018588,-0.286760,0.171456,0.002057,0.002188,-0.003502,0.002359
Age 11-60 All,0.004894,0.005240,0.034859,0.047344,0.001053,0.000631,0.000117,0.000654
Age 11-60 Female,0.008063,0.006812,0.056543,0.061625,0.002087,0.000818,0.000377,0.000850
Age 11-60 Male,0.001388,0.007158,0.011048,0.064591,-0.000104,0.000864,-0.000170,0.000893
Age 60+All,0.008008,0.008099,0.135836,0.072996,0.000952,0.001005,0.000377,0.001001
Age 60+ Female,0.012331,0.008510,0.175089,0.076686,0.000744,0.001059,0.001103,0.001050
Age 60+ Male,0.001434,0.009133,0.076176,0.082359,0.001264,0.001128,-0.000730,0.001130
All: LAG 9,0.001462,0.006061,0.080532,0.053805,0.000379,0.000733,0.000101,0.000749
Female,0.009919,0.006599,0.135892,0.058445,0.000522,0.000800,0.001180,0.000813
Male,-0.009805,0.006656,0.005926,0.059295,0.000190,0.000803,-0.001351,0.000825
Warm All,0.015057,0.005198,0.244546,0.059545,0.000464,0.000608,0.002534,0.000719
Warm Female,0.022247,0.005808,0.281118,0.066301,0.001211,0.000680,0.003466,0.000803
Warm Male,0.005588,0.005766,0.195289,0.066422,-0.000522,0.000674,0.001306,0.000799
Cold All,-0.016193,0.007028,0.003304,0.050870,-0.000057,0.000912,-0.001813,0.000773
Cold Female,-0.005465,0.007497,0.068984,0.054295,-0.000799,0.000979,-0.000602,0.000822
Cold Male,-0.030737,0.007682,-0.085254,0.055576,0.000926,0.000989,-0.003474,0.000849
Age 0-10 All,-0.011413,0.014399,-0.213109,0.131601,0.000700,0.001696,-0.001397,0.001826
Age 0-10 Female,-0.016962,0.021003,-0.122817,0.188029,-0.000841,0.002447,-0.000397,0.002654
Age 0-10 Male,-0.006690,0.018516,-0.288377,0.172121,0.001981,0.002200,-0.002166,0.002356
Age 11-60 All,0.008494,0.005269,0.090625,0.047119,-0.000155,0.000633,0.000765,0.000655
Age 11-60 Female,0.018342,0.006847,0.136711,0.061229,0.000732,0.000822,0.001744,0.000850
Age 11-60 Male,-0.002476,0.007197,0.039191,0.064394,-0.001143,0.000865,-0.000329,0.000896
Age 60+All,-0.001458,0.008210,0.091845,0.072475,0.000665,0.000999,-0.000143,0.001009
Age 60+ Female,0.007270,0.008621,0.146056,0.076004,0.000513,0.001053,0.001014,0.001057
Age 60+ Male,-0.014710,0.009269,0.008705,0.082013,0.000897,0.001121,-0.001916,0.001144
All: LAG 10,-0.001322,0.006083,-0.007663,0.053926,0.001331,0.000727,-0.000332,0.000757
Female,0.003013,0.006633,0.037539,0.058697,0.001267,0.000795,0.000270,0.000825
Male,-0.007072,0.006671,-0.068105,0.059283,0.001416,0.000796,-0.001132,0.000831
Warm All,0.012257,0.005210,0.126580,0.061048,0.000687,0.000601,0.002071,0.000725
Warm Female,0.018298,0.005817,0.171002,0.067987,0.000987,0.000672,0.003264,0.000809
Warm Male,0.004270,0.005786,0.066885,0.068026,0.000291,0.000667,0.000494,0.000806
Cold All,-0.020031,0.007081,-0.062094,0.050443,0.001986,0.000914,-0.002238,0.000783
Cold Female,-0.017343,0.007589,-0.014560,0.054007,0.001339,0.000982,-0.002119,0.000839
Cold Male,-0.023600,0.007705,-0.125231,0.054926,0.002835,0.000989,-0.002395,0.000853
Age 0-10 All,0.001019,0.014494,-0.174005,0.131575,0.003046,0.001710,-0.001065,0.001830
Age 0-10 Female,-0.003816,0.021068,-0.206136,0.187555,0.004776,0.002464,-0.000558,0.002649
Age 0-10 Male,0.005443,0.018674,-0.142065,0.172347,0.001608,0.002220,-0.001425,0.002367
Age 11-60 All,0.002439,0.005292,-0.014174,0.047430,0.001182,0.000632,-0.000217,0.000660
Age 11-60 Female,0.011505,0.006861,0.072302,0.061282,0.000934,0.000821,0.000914,0.000854
Age 11-60 Male,-0.007653,0.007248,-0.111422,0.065195,0.001463,0.000864,-0.001478,0.000905
Age 60+All,-0.003506,0.008239,0.004202,0.072524,0.001324,0.000987,-0.000351,0.001024
Age 60+ Female,-0.000741,0.008675,0.031031,0.076421,0.001282,0.001041,0.000005,0.001078
Age 60+ Male,-0.007647,0.009267,-0.035691,0.081489,0.001385,0.001108,-0.000881,0.001152
All: LAG 11,0.001090,0.006073,-0.023840,0.053820,0.001455,0.000725,-0.000016,0.000757
Female,0.001863,0.006620,0.010164,0.058535,0.001032,0.000792,0.000444,0.000825
Male,0.000098,0.006662,-0.069590,0.059218,0.002021,0.000794,-0.000625,0.000830
Warm All,0.006617,0.005142,0.024598,0.061806,0.000085,0.000595,0.000460,0.000716
Warm Female,0.009181,0.005735,0.055127,0.068854,0.000358,0.000664,0.001139,0.000798
Warm Male,0.003304,0.005713,-0.015356,0.068762,-0.000273,0.000660,-0.000434,0.000796
Cold All,-0.007972,0.007187,-0.035615,0.049914,0.003487,0.000915,-0.000440,0.000790
Cold Female,-0.009175,0.007707,0.000136,0.053363,0.002027,0.000984,-0.000226,0.000848
Cold Male,-0.006408,0.007813,-0.083969,0.054469,0.005421,0.000989,-0.000734,0.000859
Age 0-10 All,0.032993,0.014411,-0.005830,0.132320,0.003565,0.001700,0.003148,0.001817
Age 0-10 Female,0.048239,0.020704,0.055024,0.187053,0.003832,0.002443,0.006248,0.002604
Age 0-10 Male,0.020286,0.018767,-0.060811,0.174553,0.003358,0.002212,0.000552,0.002371
Age 11-60 All,0.000673,0.005281,-0.038927,0.047558,0.000972,0.000630,-0.000197,0.000657
Age 11-60 Female,0.001142,0.006871,0.035240,0.061473,-0.000560,0.000820,0.000435,0.000855
Age 11-60 Male,0.000174,0.007210,-0.123271,0.065375,0.002685,0.000860,-0.000893,0.000897
Age 60+All,-0.000769,0.008229,-0.018074,0.072162,0.001591,0.000984,-0.000125,0.001025
Age 60+ Female,0.000007,0.008654,-0.002993,0.076022,0.001655,0.001037,0.000186,0.001078
Age 60+ Male,-0.001873,0.009271,-0.040216,0.081091,0.001495,0.001105,-0.000588,0.001155
All: LAG 12,-0.000652,0.006092,0.021326,0.053993,0.000894,0.000721,-0.000230,0.000761
Female,-0.001129,0.006645,0.028126,0.058856,0.001050,0.000786,-0.000295,0.000831
Male,0.000018,0.006680,0.012283,0.059262,0.000685,0.000791,-0.000140,0.000833
Warm All,0.005416,0.005105,0.019257,0.060852,0.000483,0.000587,0.000832,0.000709
Warm Female,0.006139,0.005691,0.018571,0.067634,0.000949,0.000655,0.000913,0.000789
Warm Male,0.004540,0.005678,0.021284,0.067943,-0.000141,0.000653,0.000736,0.000790
Cold All,-0.006573,0.007312,0.035968,0.050505,0.001449,0.000913,-0.001193,0.000805
Cold Female,-0.008053,0.007855,0.044550,0.054201,0.001325,0.000980,-0.001504,0.000866
Cold Male,-0.004591,0.007929,0.024548,0.054837,0.001613,0.000991,-0.000783,0.000870
Age 0-10 All,0.017607,0.014416,0.103347,0.131485,0.000521,0.001698,0.000592,0.001817
Age 0-10 Female,0.019221,0.020790,0.050843,0.187673,0.003632,0.002438,0.000682,0.002611
Age 0-10 Male,0.016217,0.018729,0.147902,0.172309,-0.002083,0.002211,0.000496,0.002366
Age 11-60 All,0.005384,0.005287,0.056826,0.047707,0.000527,0.000627,-0.000156,0.000658
Age 11-60 Female,0.005394,0.006882,0.089664,0.061950,0.000327,0.000814,-0.000165,0.000857
Age 11-60 Male,0.005348,0.007221,0.019945,0.065325,0.000753,0.000859,-0.000149,0.000898
Age 60+All,-0.004939,0.008262,-0.001984,0.072430,0.001128,0.000977,-0.000320,0.001034
