Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 5,0.0034,0.003753,-0.017408,0.031864,0.000289,0.000453,0.000222,0.000467
Female,0.00549,0.003856,-0.010775,0.033049,0.000274,0.000463,0.000543,0.000481
Male,0.000438,0.004841,-0.02643,0.040558,0.000316,0.000588,-0.000225,0.000602
Warm All,0.007884,0.00438,0.056065,0.049242,0.000906,0.000529,0.001022,0.000607
Warm Female,0.008221,0.00456,0.016608,0.05153,0.001272,0.000546,0.001069,0.000633
Warm Male,0.007508,0.005874,0.112598,0.06551,0.000371,0.000716,0.000977,0.00081
Cold All,-0.002462,0.006507,-0.049543,0.043092,-0.000909,0.000794,-0.000379,0.000714
Cold Female,0.002488,0.006615,-0.02091,0.044353,-0.001405,0.000806,0.000188,0.000726
Cold Male,-0.009601,0.008173,-0.088846,0.053169,-0.000163,0.001,-0.001187,0.000895
Age 0-10 All,-0.021524,0.011167,-0.230722,0.097709,0.001266,0.001323,-0.003543,0.001407
Age 0-10 Female,-0.009461,0.016318,-0.062925,0.145018,-0.000378,0.001926,-0.002016,0.002061
Age 0-10 Male,-0.031427,0.015148,-0.35675,0.130977,0.002585,0.001798,-0.004792,0.001904
Age 11-60 All,0.003645,0.003781,-0.021989,0.032452,0.000285,0.000454,0.000324,0.000472
Age 11-60 Female,0.002863,0.004187,-0.03658,0.036078,0.000225,0.000501,0.000376,0.000523
Age 11-60 Male,0.005465,0.005234,0.010252,0.044524,0.00043,0.000634,0.000214,0.000652
Age 60+All,0.005346,0.005145,0.007476,0.042775,0.000209,0.000627,0.000408,0.000638
Age 60+ Female,0.014269,0.005625,0.062179,0.047325,0.000473,0.000683,0.001248,0.000697
Age 60+ Male,-0.001397,0.006369,-0.032565,0.052502,0.000013,0.000778,-0.00022,0.000789
All: LAG 6,-0.005187,0.00372,-0.045534,0.032445,0.000182,0.000457,-0.000767,0.000463
Female,-0.003585,0.003828,-0.029178,0.033564,-0.000118,0.000467,-0.000402,0.000477
Male,-0.007437,0.004792,-0.068244,0.041471,0.000633,0.000594,-0.00128,0.000595
Warm All,-0.00427,0.004363,-0.041994,0.049863,0.000498,0.000533,-0.000651,0.000605
Warm Female,-0.002327,0.00455,-0.052168,0.052147,0.000145,0.000551,-0.0002,0.000632
Warm Male,-0.00696,0.005845,-0.026551,0.066517,0.001031,0.000722,-0.00127,0.000807
Cold All,-0.005498,0.006384,-0.043051,0.043866,-0.000695,0.000798,-0.000677,0.000701
Cold Female,-0.004078,0.006493,-0.013292,0.044958,-0.000909,0.000808,-0.000365,0.000713
Cold Male,-0.007567,0.00802,-0.084741,0.054484,-0.000371,0.001007,-0.001132,0.000879
Age 0-10 All,-0.019039,0.011085,-0.186724,0.099282,-0.000391,0.001321,-0.002751,0.001394
Age 0-10 Female,-0.025968,0.016268,-0.122706,0.145936,-0.001149,0.001926,-0.004367,0.002061
Age 0-10 Male,-0.013939,0.014998,-0.240122,0.134117,0.000253,0.001795,-0.001556,0.001875
Age 11-60 All,-0.006049,0.003752,-0.039031,0.032977,0.000078,0.000458,-0.000757,0.000467
Age 11-60 Female,-0.00491,0.004156,-0.039239,0.036618,-0.000148,0.000505,-0.000513,0.000518
Age 11-60 Male,-0.008508,0.005192,-0.038382,0.045397,0.000604,0.000639,-0.001285,0.000645
Age 60+All,-0.002329,0.005091,-0.043667,0.043728,0.000422,0.000634,-0.000586,0.00063
Age 60+ Female,0.002283,0.005579,0.006316,0.048186,0.000067,0.00069,0.000268,0.00069
Age 60+ Male,-0.005844,0.006295,-0.080644,0.053847,0.0007,0.000788,-0.001236,0.00078
All: LAG 7,-0.00115,0.00369,-0.013082,0.032873,0.000443,0.000458,-0.000072,0.000457
Female,-0.001202,0.003798,0.006507,0.033954,-0.000033,0.000467,0.000052,0.000472
Male,-0.001093,0.004747,-0.040821,0.042048,0.001161,0.000595,-0.000238,0.000585
Warm All,0.003093,0.004367,0.019155,0.050421,0.001062,0.000532,0.000794,0.000602
Warm Female,0.002238,0.004551,0.016513,0.052584,0.000413,0.00055,0.00077,0.000631
Warm Male,0.00436,0.005844,0.023435,0.067398,0.002042,0.000721,0.000848,0.000801
Cold All,-0.005962,0.006255,-0.030335,0.044591,-0.000493,0.000803,-0.000726,0.000688
Cold Female,-0.004703,0.006367,0.000092,0.045662,-0.000732,0.000813,-0.000433,0.000702
Cold Male,-0.007921,0.007829,-0.073343,0.055302,-0.000129,0.001012,-0.00115,0.000859
Age 0-10 All,-0.01485,0.010989,-0.20142,0.099127,0.000545,0.001314,-0.002201,0.001376
Age 0-10 Female,-0.040131,0.016207,-0.298026,0.146076,-0.000271,0.001903,-0.005402,0.002055
Age 0-10 Male,0.00532,0.014803,-0.123732,0.133657,0.00123,0.001796,0.000252,0.001837
Age 11-60 All,-0.002477,0.003721,-0.018139,0.033376,0.000457,0.000458,-0.000293,0.000462
Age 11-60 Female,-0.001164,0.004119,0.005041,0.037017,0.000095,0.000506,-0.000098,0.000513
Age 11-60 Male,-0.005452,0.005148,-0.069979,0.045956,0.0013,0.000639,-0.000715,0.000637
Age 60+All,0.002374,0.005045,0.010993,0.044372,0.000413,0.000635,0.000501,0.00062
Age 60+ Female,0.002246,0.005545,0.036464,0.048848,-0.000375,0.00069,0.00095,0.000684
Age 60+ Male,0.002426,0.006222,-0.007763,0.054656,0.001029,0.000789,0.000166,0.000763
All: LAG 8,0.004619,0.003707,0.066568,0.032961,-0.000327,0.000457,0.000641,0.000455
Female,0.004728,0.003813,0.075255,0.034039,-0.000271,0.000467,0.000663,0.00047
Male,0.004507,0.004773,0.054716,0.0422,-0.000406,0.000594,0.000626,0.000583
Warm All,0.007274,0.004437,0.152099,0.050856,0.000119,0.000532,0.001091,0.000608
Warm Female,0.007062,0.004618,0.109405,0.053241,0.000256,0.000549,0.001136,0.000636
Warm Male,0.007666,0.005953,0.21401,0.067709,-0.000086,0.000721,0.001056,0.00081
Cold All,0.001446,0.006181,0.026045,0.044597,-0.001195,0.000803,0.000278,0.000677
Cold Female,0.002052,0.006307,0.060061,0.04561,-0.001222,0.000815,0.000293,0.000693
Cold Male,0.000539,0.007717,-0.022326,0.055469,-0.001155,0.001011,0.000262,0.000842
Age 0-10 All,-0.018513,0.011063,-0.236642,0.099774,0.00078,0.00132,-0.003033,0.001383
Age 0-10 Female,-0.027069,0.016251,-0.297573,0.145767,0.002693,0.001909,-0.003059,0.002042
Age 0-10 Male,-0.011208,0.014936,-0.183283,0.135347,-0.000824,0.001805,-0.002933,0.00186
Age 11-60 All,0.003526,0.003742,0.05542,0.03347,-0.000141,0.000458,0.000405,0.000462
Age 11-60 Female,0.003382,0.004141,0.07499,0.037117,-0.000315,0.000505,0.000362,0.000512
Age 11-60 Male,0.003963,0.005185,0.011918,0.046145,0.000263,0.000638,0.000521,0.000636
Age 60+All,0.00846,0.00506,0.110236,0.044495,-0.000766,0.000634,0.001346,0.000616
Age 60+ Female,0.011382,0.005548,0.108814,0.048985,-0.000441,0.000689,0.001813,0.000678
Age 60+ Male,0.006213,0.006251,0.11199,0.054827,-0.001024,0.000789,0.001003,0.000759
All: LAG 9,0.002286,0.003728,0.03838,0.032689,-0.000184,0.000455,0.000469,0.000455
Female,0.002175,0.003834,0.045701,0.03381,0.000096,0.000465,0.000406,0.000471
Male,0.002478,0.004806,0.028166,0.041786,-0.000602,0.000592,0.00057,0.000583
Warm All,0.004197,0.004496,0.090628,0.051573,0.000174,0.000531,0.001087,0.000613
Warm Female,0.006197,0.004671,0.076651,0.053793,0.000439,0.000549,0.001395,0.00064
Warm Male,0.001299,0.00606,0.110385,0.069153,-0.000223,0.000723,0.000652,0.000821
Cold All,0.000255,0.006163,0.014737,0.043795,-0.00082,0.000801,-0.000025,0.000673
Cold Female,-0.00276,0.006295,0.030991,0.044971,-0.000417,0.000813,-0.000381,0.00069
Cold Male,0.004616,0.007674,-0.007888,0.054119,-0.001431,0.001008,0.000496,0.000833
Age 0-10 All,-0.01129,0.011086,-0.135553,0.098954,-0.001108,0.001326,-0.001711,0.00138
Age 0-10 Female,0.001284,0.016213,-0.051954,0.144206,0.000053,0.001934,0.00079,0.002012
Age 0-10 Male,-0.021218,0.015007,-0.202657,0.13429,-0.002036,0.001799,-0.003678,0.001872
Age 11-60 All,0.001212,0.003762,0.044454,0.033234,-0.000396,0.000456,0.000248,0.000462
Age 11-60 Female,0.001262,0.004163,0.05028,0.036893,-0.00022,0.000503,0.000291,0.000513
Age 11-60 Male,0.001185,0.005221,0.031803,0.0458,-0.000803,0.000637,0.000165,0.000637
Age 60+All,0.005303,0.005101,0.042202,0.044093,0.000275,0.000632,0.001022,0.000616
Age 60+ Female,0.004925,0.005593,0.041605,0.04864,0.000995,0.000687,0.000704,0.000679
Age 60+ Male,0.005506,0.006306,0.042323,0.054257,-0.00029,0.000786,0.001257,0.000759
All: LAG 10,-0.000019,0.003746,0.006262,0.032927,-0.000036,0.000454,0.000335,0.000461
Female,0.00157,0.003852,0.028983,0.034099,-0.000033,0.000464,0.000489,0.000476
Male,-0.002319,0.00483,-0.025693,0.042015,-0.00004,0.00059,0.000117,0.000591
Warm All,0.003436,0.004516,0.030987,0.052966,0.000105,0.000528,0.001187,0.00062
Warm Female,0.006079,0.004695,0.067975,0.055244,0.000065,0.000546,0.001626,0.000647
Warm Male,-0.000441,0.006091,-0.022371,0.071094,0.000164,0.000715,0.000556,0.000833
Cold All,-0.004264,0.006188,0.000463,0.043678,-0.000668,0.000803,-0.000266,0.000679
Cold Female,-0.004214,0.006312,0.019037,0.044926,-0.000601,0.000814,-0.000349,0.000695
Cold Male,-0.004334,0.007718,-0.025775,0.053812,-0.000785,0.001011,-0.000142,0.000842
Age 0-10 All,-0.01979,0.011209,-0.211123,0.100211,0.000451,0.001325,-0.002482,0.001406
Age 0-10 Female,0.007334,0.016321,0.099885,0.14553,-0.000328,0.001937,-0.000299,0.002046
Age 0-10 Male,-0.041903,0.01522,-0.465722,0.136334,0.001131,0.001794,-0.004252,0.001911
Age 11-60 All,0.000568,0.003781,0.027003,0.033457,-0.000179,0.000455,0.000385,0.000467
Age 11-60 Female,0.002176,0.004184,0.037875,0.037196,-0.000025,0.000503,0.000661,0.000517
Age 11-60 Male,-0.003039,0.005247,0.003527,0.045949,-0.000543,0.000636,-0.000226,0.000645
Age 60+All,0.000694,0.005122,-0.010556,0.044432,0.000173,0.000628,0.000486,0.000625
Age 60+ Female,-0.000505,0.00562,-0.000716,0.049123,-0.000029,0.000685,0.000108,0.000689
Age 60+ Male,0.001534,0.006324,-0.018751,0.054562,0.000328,0.000779,0.000755,0.000769
All: LAG 11,0.002648,0.003759,0.002272,0.033081,0.000063,0.000452,0.000214,0.000464
Female,0.00443,0.003864,0.040341,0.034203,-0.000178,0.000462,0.00039,0.000478
Male,0.000032,0.004853,-0.051662,0.042329,0.000421,0.000587,-0.000042,0.000596
Warm All,0.002616,0.004493,-0.022982,0.053737,-0.000052,0.000522,-0.00008,0.000621
Warm Female,0.003395,0.004673,0.02495,0.055853,-0.000143,0.00054,-0.000025,0.000647
Warm Male,0.001468,0.006056,-0.093002,0.072446,0.000081,0.000707,-0.000164,0.000834
Cold All,0.002695,0.006289,0.018616,0.043695,-0.000019,0.000805,0.000432,0.000686
Cold Female,0.005927,0.006405,0.051784,0.044915,-0.000431,0.000817,0.000689,0.000701
Cold Male,-0.001997,0.007879,-0.027397,0.053998,0.000598,0.001015,0.000065,0.000856
Age 0-10 All,-0.002488,0.011262,-0.159933,0.10111,0.000356,0.001322,-0.000033,0.001398
Age 0-10 Female,0.006192,0.016511,0.056457,0.148522,-0.000548,0.001928,-0.000554,0.002051
Age 0-10 Male,-0.009394,0.015231,-0.330682,0.136483,0.001089,0.001796,0.000398,0.001891
Age 11-60 All,0.003925,0.003787,0.01862,0.033589,-0.000024,0.000453,0.000361,0.000469
Age 11-60 Female,0.006333,0.00419,0.046953,0.03726,-0.000093,0.0005,0.0006,0.00052
Age 11-60 Male,-0.00153,0.005268,-0.04464,0.04643,0.000136,0.000634,-0.000174,0.00065
Age 60+All,0.000967,0.005155,-0.011436,0.044696,0.000192,0.000626,0.000001,0.000632
Age 60+ Female,-0.000786,0.005653,0.021954,0.049365,-0.00038,0.000683,-0.000073,0.000694
Age 60+ Male,0.002224,0.006367,-0.036522,0.054906,0.000634,0.000776,0.000041,0.000779
All: LAG 12,0.000426,0.003772,0.006278,0.033179,0.000079,0.00045,0.000104,0.000466
Female,-0.000671,0.003878,0.01284,0.034323,-0.000263,0.000461,-0.00005,0.000481
Male,0.00199,0.004869,-0.003291,0.04246,0.000586,0.000586,0.000316,0.000599
Warm All,0.00106,0.00448,0.013642,0.053138,-0.000187,0.000516,0.000043,0.000616
Warm Female,-0.001441,0.004665,0.017145,0.055367,-0.00065,0.000535,-0.000333,0.000645
Warm Male,0.004634,0.006031,0.007638,0.07151,0.000496,0.0007,0.000558,0.000824
Cold All,0.001749,0.006366,0.012063,0.044116,0.000348,0.000808,0.000169,0.000697
Cold Female,0.002263,0.006481,0.01956,0.045348,0.000193,0.000819,0.000185,0.000711
Cold Male,0.001103,0.007984,0.001751,0.054561,0.000587,0.001019,0.000155,0.000872
Age 0-10 All,0.005369,0.011188,-0.085809,0.100876,0.002139,0.001317,0.001437,0.00139
Age 0-10 Female,0.005128,0.016416,0.061523,0.148575,-0.000001,0.001924,-0.00009,0.002054
Age 0-10 Male,0.005814,0.015133,-0.200034,0.135995,0.003883,0.001786,0.002663,0.001869
