Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold Male,-0.004245,0.003814,-0.005560,0.026687,-0.000599,0.000475,-0.000594,0.000419
Age 0-10 All,-0.003862,0.004122,-0.043275,0.038589,-0.000333,0.000497,-0.000714,0.000522
Age 0-10 Female,-0.007295,0.005707,-0.038071,0.053428,-0.000572,0.000689,-0.000924,0.000723
Age 0-10 Male,-0.001357,0.005038,-0.046775,0.047221,-0.000161,0.000607,-0.000560,0.000637
Age 11-60 All,-0.001027,0.002218,-0.011582,0.020191,-0.000063,0.000268,-0.000213,0.000278
Age 11-60 Female,0.001344,0.002957,-0.004299,0.026811,0.000117,0.000356,0.000156,0.000369
Age 11-60 Male,-0.002697,0.002491,-0.016757,0.022766,-0.000189,0.000302,-0.000471,0.000312
Age 60+All,-0.001811,0.003446,-0.008294,0.031254,-0.000071,0.000411,-0.000275,0.000431
Age 60+ Female,-0.003220,0.004097,-0.027793,0.037016,-0.000030,0.000489,-0.000479,0.000512
Age 60+ Male,0.000332,0.004761,0.021550,0.043347,-0.000134,0.000567,0.000036,0.000596
All:LAG 6,-0.002179,0.002065,0.010055,0.018975,-0.000092,0.000249,-0.000373,0.000259
Female,-0.000844,0.002572,0.030495,0.023494,-0.000110,0.000309,-0.000152,0.000322
Male,-0.003273,0.002297,-0.006977,0.021219,-0.000073,0.000277,-0.000553,0.000289
Warm All,-0.006993,0.002467,-0.067417,0.030037,-0.000145,0.000293,-0.000738,0.000344
Warm Female,-0.008870,0.002943,-0.058991,0.035893,-0.000288,0.000348,-0.000922,0.000411
Warm Male,-0.005487,0.002878,-0.073710,0.035024,-0.000028,0.000343,-0.000587,0.000401
Cold All,0.003516,0.003513,0.051706,0.024936,-0.000143,0.000442,-0.000074,0.000387
Cold Female,0.009148,0.004480,0.075180,0.031845,0.000078,0.000563,0.000519,0.000494
Cold Male,-0.001378,0.003774,0.031420,0.026798,-0.000331,0.000475,-0.000587,0.000415
Age 0-10 All,-0.007946,0.004110,-0.053840,0.038649,0.000130,0.000495,-0.000854,0.000521
Age 0-10 Female,-0.012305,0.005692,-0.015938,0.053472,-0.000251,0.000685,-0.001419,0.000722
Age 0-10 Male,-0.004773,0.005024,-0.081166,0.047328,0.000405,0.000604,-0.000445,0.000636
Age 11-60 All,-0.001786,0.002215,0.013692,0.020328,-0.000213,0.000267,-0.000283,0.000278
