G00-G99,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 All,0.006417502,0.006168815,0.06996625,0.0556631,-0.00025944,0.000737582,0.000890752,0.000768186
Age 11-60 Female,0.009707035,0.007852594,0.06014977,0.07072341,-0.000182783,0.000941908,0.001039165,0.000977791
Age 11-60 Male,0.001110235,0.009656396,0.08621485,0.08742385,-0.000371245,0.001148597,0.000655595,0.001202903
Age 60+All,0.013056865,0.009102686,0.15030345,0.08159293,0.000253043,0.001100172,0.001861109,0.001128681
Age 60+ Female,0.01448613,0.0119502,0.03689288,0.10677688,0.000904891,0.001450282,0.001883821,0.001481329
Age 60+ Male,0.01102224,0.0135285,0.3060493,0.1217776,-0.000634331,0.001625537,0.001817923,0.001678334
All: LAG 9,0.003812053,0.005354457,0.04689579,0.0478419,-0.000768658,0.000637726,0.000900091,0.00066595
Female,0.008859968,0.006699578,-0.01435555,0.05997319,-7.68009E-05,0.000801054,0.001146138,0.000834097
Male,-0.003763198,0.007981403,0.13711275,0.07110691,-0.001781312,0.000945303,0.000529281,0.000991547
Warm All,0.000736996,0.005739487,0.08246707,0.05112193,-0.002231235,0.000733839,0.000687379,0.00070861
Warm Female,0.007700949,0.006927559,0.009857716,0.061803916,-0.000781593,0.000889547,0.001042426,0.000855699
Warm Male,-0.010015438,0.008216782,0.193634223,0.072975465,-0.00443679,0.001045057,0.000146762,0.001013813
Cold All,0.007413389,0.006059353,-0.02471562,0.05412409,0.000728945,0.000651664,0.00096303,0.000774292
Cold Female,0.009479539,0.007423653,-0.06399852,0.06643552,0.000579774,0.000799032,0.001099254,0.000950745
Cold Male,0.004445963,0.008564423,0.02991733,0.07629201,0.000942178,0.000920146,0.000772528,0.001090979
Age 0-10 All,0.02415666,0.02808627,0.2633446,0.2511974,-0.000262311,0.003297936,0.004232352,0.003522758
Age 0-10 Female,-0.002255957,0.03826133,-0.06364401,0.35580969,0.001443805,0.004433178,0.000398549,0.004790064
Age 0-10 Male,0.04754664,0.03648034,0.5066383,0.3163562,-0.001786211,0.004332987,0.007682542,0.004580799
Age 11-60 All,0.00335016,0.006211805,0.000468907,0.055659876,-0.000427744,0.000739051,0.000286025,0.00077485
Age 11-60 Female,0.007653215,0.007892515,-0.06447723,0.07078049,0.000290383,0.000942328,0.000561809,0.000985517
Age 11-60 Male,-0.003597704,0.009748183,0.10545423,0.08721702,-0.001575201,0.001153277,-0.000152819,0.001214173
Age 60+All,0.002909419,0.009192977,0.12619993,0.08162111,-0.001573989,0.001099263,0.001920655,0.001135368
Age 60+ Female,0.01273961,0.0120646,0.1057198,0.1071564,-0.00107346,0.001450481,0.002600757,0.001490814
Age 60+ Male,-0.01033148,0.01367274,0.1521964,0.1213546,-0.002255005,0.001623637,0.001014522,0.001688315
All: LAG 10,-0.001566451,0.005388605,0.0181226,0.04831281,-0.000265268,0.000640989,-5.33315E-05,0.000670751
Female,-0.000311276,0.006739013,-0.000407836,0.060433846,-0.000109603,0.000803932,4.08333E-07,0.000838729
Male,-0.003444393,0.008039908,0.04598452,0.0720478,-0.000496875,0.000952271,-0.000137221,0.001000917
Warm All,-0.00807319,0.005803134,0.02247985,0.05202374,-0.001688351,0.000738103,-0.000576731,0.000716549
Warm Female,-0.005798863,0.007000663,-0.04307433,0.0627882,-0.000662075,0.000891278,-0.000762453,0.000864968
Warm Male,-0.011525837,0.008314153,0.12395043,0.0743616,-0.003267608,0.001055359,-0.000285841,0.001025077
Cold All,0.007237668,0.006065083,0.003582745,0.054098751,0.001251207,0.000655645,0.000438247,0.000775703
Cold Female,0.007215382,0.007418505,0.06389633,0.06607235,0.00039794,0.000803632,0.000985827,0.000948195
Cold Male,0.007380024,0.008587994,-0.08206286,0.07672845,0.002469927,0.000925785,-0.000337394,0.001099111
Age 0-10 All,0.03393361,0.02804446,0.3060647,0.2527148,-0.002128216,0.003316743,0.004188804,0.003524768
Age 0-10 Female,-0.02790885,0.03827142,0.08946667,0.36125021,-0.00331903,0.004483412,-0.000484411,0.00486233
Age 0-10 Male,0.08655383,0.03631911,0.4663368,0.3159592,-0.001301655,0.004330846,0.008077293,0.004522484
Age 11-60 All,-0.000500844,0.006255617,0.003664353,0.05621102,-0.000210821,0.000743217,-0.00021417,0.000779142
Age 11-60 Female,0.00220213,0.007935149,0.001104643,0.071213787,-8.66277E-05,0.00094622,-6.34986E-05,0.000987614
Age 11-60 Male,-0.004966761,0.00983643,0.007924599,0.088571153,-0.000413665,0.00116186,-0.000467862,0.001226632
Age 60+All,-0.007284815,0.009248213,0.02179632,0.08247745,-0.000201449,0.001103691,-9.6026E-05,0.00114871
Age 60+ Female,-0.003783924,0.012145071,-0.009447667,0.108305761,8.86776E-05,0.001452492,0.000231989,0.001509206
Age 60+ Male,-0.01180075,0.01372567,0.06560403,0.12238838,-0.000607339,0.001633316,-0.000514633,0.001703582
All: LAG 11,-0.005695208,0.005416355,0.01698023,0.04873968,-0.000865395,0.000637276,-0.000339899,0.00067563
Female,-0.001781599,0.006769567,0.00304356,0.06068519,-0.00038976,0.000799431,0.00013715,0.000843523
Male,-0.011558175,0.008088811,0.03834923,0.07320055,-0.001570305,0.00094655,-0.001062648,0.001010429
Warm All,-0.012539293,0.005827226,0.0200355,0.05250257,-0.001619025,0.000729181,-0.001303761,0.000722155
Warm Female,-0.007272348,0.007021055,-0.0309982,0.06301119,-0.000469993,0.000880729,-0.000344488,0.000869714
Warm Male,-0.020662795,0.008368655,0.10097399,0.07577092,-0.003377638,0.00104234,-0.002789196,0.001037635
Cold All,0.00347874,0.006084665,-0.000109909,0.054448099,-1.17386E-05,0.000655838,0.000834993,0.000777903
Cold Female,0.005203617,0.007444727,0.04745424,0.06636122,-0.000368714,0.00080401,0.000534609,0.000950273
Cold Male,0.001012387,0.008621517,-0.06889837,0.07755883,0.000485268,0.000926712,0.001271352,0.00110498
Age 0-10 All,0.03199481,0.02822916,0.2715951,0.2562148,-0.002046608,0.003295097,0.003569859,0.00357231
Age 0-10 Female,0.02381341,0.03794015,0.2973447,0.3544852,-0.002759781,0.004428057,0.006174585,0.004809143
Age 0-10 Male,0.04161099,0.0369563,0.2591247,0.3276995,-0.001172482,0.004310724,0.001659763,0.004671587
Age 11-60 All,-0.007517283,0.006290545,0.01020891,0.05666109,-0.001164895,0.000738926,-0.00080416,0.000784603
Age 11-60 Female,0.001035508,0.007974694,0.04380911,0.0714655,-0.000635983,0.000941641,-0.000157648,0.000992776
Age 11-60 Male,-0.021493036,0.009898701,-0.0464772,0.08993386,-0.00200245,0.001153843,-0.001882392,0.001238822
Age 60+All,-0.005386437,0.00927966,0.007397381,0.083247634,-0.00010038,0.001096484,0.000299719,0.001155767
Age 60+ Female,-0.009965167,0.012186939,-0.112473,0.1089693,0.000399424,0.001440804,0.000450209,0.001520057
