Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm All,-0.001759,0.002453,0.006383,0.035511,-0.000188,0.000359,0.000046,0.000418
Warm Female,-0.001400,0.002937,0.000620,0.040883,0.000018,0.000412,-0.000100,0.000480
Warm Male,-0.002136,0.002864,0.012646,0.040534,-0.000411,0.000410,0.000206,0.000478
Cold All,-0.002901,0.003548,-0.038420,0.029330,-0.000456,0.000523,-0.000552,0.000481
Cold Female,-0.002284,0.004524,-0.054371,0.032567,-0.000893,0.000581,-0.000362,0.000534
Cold Male,-0.003536,0.003814,-0.021248,0.031769,0.000008,0.000566,-0.000751,0.000520
Age 0-10 All,0.005507,0.004122,0.080171,0.061205,-0.000794,0.000895,0.000808,0.000913
Age 0-10 Female,0.020753,0.005707,0.100363,0.088664,-0.000703,0.001304,0.001994,0.001319
Age 0-10 Male,-0.006341,0.005038,0.064108,0.079876,-0.000850,0.001163,-0.000125,0.001194
Age 11-60 All,-0.001261,0.002218,-0.014814,0.033483,-0.000066,0.000458,-0.000261,0.000481
Age 11-60 Female,-0.002119,0.002957,-0.024945,0.039669,0.000023,0.000542,-0.000474,0.000570
Age 11-60 Male,-0.000337,0.002491,-0.004035,0.038762,-0.000162,0.000532,-0.000032,0.000557
Age 60+All,-0.006344,0.003446,-0.072231,0.041905,-0.000287,0.000568,-0.000676,0.000600
Age 60+ Female,-0.005560,0.004097,-0.088797,0.048131,-0.000538,0.000655,-0.000420,0.000691
Age 60+ Male,-0.007246,0.004761,-0.052745,0.051109,0.000005,0.000691,-0.000972,0.000731
All: LAG 6,-0.007561,0.002065,-0.057293,0.031852,-0.000333,0.000434,-0.001105,0.000448
Female,-0.006583,0.002572,-0.061509,0.035895,-0.000565,0.000490,-0.000776,0.000504
Male,-0.008604,0.002297,-0.052773,0.035226,-0.000084,0.000481,-0.001459,0.000496
Warm All,-0.008294,0.002467,-0.065035,0.035549,-0.000423,0.000362,-0.000989,0.000416
Warm Female,-0.007890,0.002943,-0.077594,0.040893,-0.000538,0.000416,-0.000506,0.000477
Warm Male,-0.008737,0.002878,-0.051659,0.040571,-0.000299,0.000413,-0.001517,0.000477
Cold All,-0.006066,0.003513,-0.051798,0.029971,-0.000468,0.000528,-0.001100,0.000475
Cold Female,-0.004463,0.004480,-0.050725,0.033260,-0.001033,0.000586,-0.000877,0.000527
Cold Male,-0.007760,0.003774,-0.052975,0.032450,0.000135,0.000570,-0.001337,0.000514
Age 0-10 All,-0.004824,0.004110,-0.010620,0.061694,-0.000180,0.000897,-0.000663,0.000912
Age 0-10 Female,0.002409,0.005692,-0.008283,0.089467,0.000046,0.001303,-0.000284,0.001326
Age 0-10 Male,-0.010487,0.005024,-0.012228,0.080642,-0.000367,0.001168,-0.000967,0.001187
Age 11-60 All,-0.007458,0.002215,-0.039268,0.033956,-0.000575,0.000462,-0.001286,0.000477
Age 11-60 Female,-0.005345,0.002952,-0.029651,0.040161,-0.000667,0.000547,-0.000832,0.000564
Age 11-60 Male,-0.009700,0.002488,-0.049436,0.039345,-0.000477,0.000536,-0.001772,0.000554
Age 60+All,-0.008210,0.003437,-0.097882,0.042632,0.000042,0.000575,-0.000886,0.000594
Age 60+ Female,-0.009943,0.004088,-0.122112,0.049038,-0.000499,0.000664,-0.000756,0.000683
Age 60+ Male,-0.006162,0.004748,-0.069596,0.051830,0.000668,0.000698,-0.001035,0.000722
All: LAG 7,-0.000487,0.002064,-0.022606,0.032213,0.000270,0.000435,-0.000016,0.000444
Female,-0.000672,0.002573,-0.022267,0.036331,0.000066,0.000490,-0.000051,0.000500
Male,-0.000297,0.002296,-0.023041,0.035588,0.000488,0.000481,0.000021,0.000491
Warm All,0.001870,0.002466,-0.029139,0.036008,0.000967,0.000361,0.000807,0.000418
Warm Female,0.001424,0.002945,-0.043874,0.041454,0.001012,0.000415,0.000825,0.000481
Warm Male,0.002335,0.002878,-0.013424,0.041055,0.000917,0.000413,0.000785,0.000477
Cold All,-0.003158,0.003508,-0.018736,0.030289,-0.000835,0.000529,-0.000615,0.000466
Cold Female,-0.003160,0.004474,-0.010107,0.033658,-0.001499,0.000587,-0.000678,0.000516
Cold Male,-0.003147,0.003776,-0.027902,0.032747,-0.000127,0.000572,-0.000546,0.000504
Age 0-10 All,0.004545,0.004107,0.070234,0.061881,-0.001553,0.000890,0.000990,0.000906
Age 0-10 Female,0.010256,0.005694,0.071389,0.089952,-0.002521,0.001294,0.001340,0.001326
Age 0-10 Male,0.000099,0.005014,0.069214,0.080828,-0.000814,0.001159,0.000708,0.001175
Age 11-60 All,-0.002036,0.002217,-0.022535,0.034353,0.000214,0.000463,-0.000357,0.000474
Age 11-60 Female,-0.001884,0.002959,-0.013699,0.040619,0.000176,0.000546,-0.000373,0.000559
