Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Female,0.012117,0.014378,0.056520,0.131712,0.000610,0.001737,0.000764,0.001785
Age 60+ Male,0.015368,0.016719,0.060425,0.154141,-0.000797,0.002008,0.001766,0.002087
All: LAG 8,0.009308,0.005112,0.025738,0.044172,-0.000488,0.000609,0.000870,0.000631
Female,0.009691,0.006498,0.022654,0.056174,-0.000832,0.000772,0.000852,0.000803
Male,0.008948,0.006566,0.028963,0.056692,-0.000147,0.000783,0.000892,0.000810
Warm All,0.004420,0.005140,-0.010025,0.044057,-0.000842,0.000652,0.000441,0.000636
Warm Female,0.007042,0.006349,0.015627,0.054499,-0.001322,0.000806,0.000938,0.000785
Warm Male,0.001869,0.006344,-0.034821,0.054303,-0.000378,0.000804,-0.000040,0.000786
Cold All,0.013973,0.006252,0.099636,0.054647,-0.000302,0.000667,0.001128,0.000783
Cold Female,0.010258,0.007726,0.040118,0.067436,-0.000472,0.000822,0.000148,0.000968
Cold Male,0.017843,0.007931,0.162043,0.069398,-0.000134,0.000847,0.002142,0.000991
Age 0-10 All,0.029393,0.008885,0.123768,0.072155,-0.000472,0.001065,0.002499,0.001083
Age 0-10 Female,0.028121,0.012343,0.023772,0.099529,-0.000687,0.001474,0.001907,0.001504
Age 0-10 Male,0.030282,0.010917,0.201481,0.089051,-0.000298,0.001310,0.002939,0.001330
Age 11-60 All,0.001270,0.006269,-0.056370,0.055518,-0.000445,0.000743,0.000425,0.000778
Age 11-60 Female,0.004732,0.008104,0.012426,0.071432,-0.000933,0.000959,0.000793,0.001007
Age 11-60 Male,-0.002339,0.008461,-0.129834,0.075300,0.000077,0.001006,0.000044,0.001050
Age 60+All,-0.002938,0.011181,0.095796,0.101873,-0.000800,0.001339,-0.000904,0.001397
Age 60+ Female,-0.002141,0.014454,0.071916,0.132452,-0.000826,0.001732,-0.000460,0.001799
Age 60+ Male,-0.004097,0.016877,0.127625,0.152601,-0.000777,0.002019,-0.001517,0.002119
All: LAG 9,0.008617,0.005134,-0.040219,0.044327,0.000683,0.000611,0.000333,0.000634
Female,0.008347,0.006516,-0.051477,0.056391,0.000346,0.000775,0.000788,0.000805
Male,0.008967,0.006597,-0.028828,0.056829,0.001027,0.000787,-0.000107,0.000815
Warm All,0.004073,0.005165,-0.103619,0.044082,0.001323,0.000655,-0.000147,0.000637
Warm Female,0.002271,0.006388,-0.118923,0.054794,0.001225,0.000810,-0.000083,0.000789
Warm Male,0.005913,0.006374,-0.088650,0.054180,0.001424,0.000808,-0.000199,0.000785
Cold All,0.013798,0.006248,0.078521,0.054865,-0.000289,0.000668,0.000871,0.000787
Cold Female,0.016574,0.007685,0.078231,0.067350,-0.000916,0.000822,0.002211,0.000965
Cold Male,0.010861,0.007951,0.078624,0.069949,0.000375,0.000849,-0.000542,0.001003
Age 0-10 All,0.023211,0.008918,0.005893,0.072395,0.001392,0.001067,0.001286,0.001089
Age 0-10 Female,0.023742,0.012394,-0.082646,0.100097,0.002247,0.001478,0.001320,0.001515
Age 0-10 Male,0.022904,0.010937,0.074420,0.089081,0.000759,0.001312,0.001273,0.001334
Age 11-60 All,0.004522,0.006302,-0.124120,0.055831,0.001016,0.000748,0.000186,0.000782
Age 11-60 Female,0.004333,0.008133,-0.079207,0.071867,-0.000023,0.000964,0.000829,0.001009
Age 11-60 Male,0.004803,0.008520,-0.172143,0.075728,0.002142,0.001012,-0.000488,0.001058
Age 60+All,-0.006961,0.011200,0.165763,0.101371,-0.002047,0.001339,-0.001078,0.001396
Age 60+ Female,-0.002300,0.014479,0.117262,0.132178,-0.001494,0.001733,-0.000010,0.001793
Age 60+ Male,-0.013486,0.016907,0.229645,0.151271,-0.002794,0.002018,-0.002588,0.002126
All: LAG 10,0.005903,0.005165,-0.029341,0.044706,-0.000300,0.000615,0.000136,0.000637
Female,0.011371,0.006569,0.010632,0.056815,0.000235,0.000782,0.000749,0.000810
Male,0.000580,0.006627,-0.068658,0.057399,-0.000830,0.000790,-0.000460,0.000819
Warm All,0.005327,0.005216,-0.069923,0.044587,0.000602,0.000661,0.000041,0.000642
Warm Female,0.006760,0.006464,-0.038297,0.055192,0.001276,0.000819,0.000142,0.000795
Warm Male,0.004045,0.006416,-0.100054,0.054924,-0.000046,0.000815,-0.000046,0.000790
Cold All,0.006002,0.006274,0.043224,0.055214,-0.001506,0.000670,0.000191,0.000790
Cold Female,0.018440,0.007716,0.100695,0.067909,-0.001061,0.000828,0.001827,0.000970
Cold Male,-0.006945,0.007982,-0.016599,0.070292,-0.001966,0.000850,-0.001516,0.001007
Age 0-10 All,0.025436,0.008952,0.003552,0.073199,0.000638,0.001075,0.001664,0.001088
Age 0-10 Female,0.029828,0.012453,-0.010484,0.101091,0.000457,0.001492,0.002603,0.001509
Age 0-10 Male,0.022198,0.010970,0.014197,0.090134,0.000784,0.001318,0.000972,0.001335
Age 11-60 All,-0.000314,0.006354,-0.066320,0.056329,-0.000270,0.000755,-0.000271,0.000788
Age 11-60 Female,0.008051,0.008221,0.036020,0.072407,0.000201,0.000976,0.000412,0.001018
Age 11-60 Male,-0.009099,0.008557,-0.176388,0.076379,-0.000766,0.001018,-0.000987,0.001064
Age 60+All,-0.011895,0.011302,0.027233,0.102287,-0.002300,0.001341,-0.001573,0.001417
Age 60+ Female,-0.006536,0.014588,-0.036000,0.132529,0.000029,0.001735,-0.001059,0.001821
Age 60+ Male,-0.019197,0.017087,0.112088,0.153769,-0.005451,0.002021,-0.002300,0.002157
All: LAG 11,0.004862,0.005175,-0.049136,0.045323,-0.000074,0.000616,-0.000048,0.000638
Female,0.006436,0.006574,-0.023866,0.057569,-0.000703,0.000782,0.000286,0.000810
Male,0.003334,0.006648,-0.073670,0.058229,0.000549,0.000792,-0.000376,0.000821
Warm All,0.003564,0.005241,-0.087797,0.045451,0.000981,0.000662,-0.000323,0.000645
Warm Female,0.003452,0.006476,-0.049166,0.056174,0.000424,0.000818,-0.000096,0.000795
Warm Male,0.003723,0.006464,-0.124455,0.056054,0.001518,0.000816,-0.000539,0.000797
Cold All,0.006457,0.006249,0.026488,0.055388,-0.001392,0.000670,0.000500,0.000786
Cold Female,0.009342,0.007697,0.024939,0.068177,-0.002079,0.000827,0.000850,0.000968
Cold Male,0.003468,0.007946,0.028477,0.070481,-0.000682,0.000851,0.000143,0.000999
Age 0-10 All,0.020310,0.009006,-0.033532,0.074493,0.000735,0.001079,0.000966,0.001096
Age 0-10 Female,0.013080,0.012493,-0.081633,0.102144,0.000053,0.001495,0.000652,0.001520
Age 0-10 Male,0.025740,0.011042,0.003872,0.092115,0.001256,0.001323,0.001198,0.001343
Age 11-60 All,-0.002850,0.006360,-0.090021,0.057096,-0.000175,0.000755,-0.000483,0.000789
Age 11-60 Female,0.001652,0.008209,-0.002621,0.073545,-0.001576,0.000972,0.000041,0.001015
Age 11-60 Male,-0.007537,0.008587,-0.182598,0.077260,0.001329,0.001020,-0.001038,0.001068
Age 60+All,0.000751,0.011279,0.070289,0.103037,-0.001471,0.001340,-0.000551,0.001407
Age 60+ Female,0.011981,0.014574,0.018824,0.133411,0.000982,0.001737,0.000624,0.001809
Age 60+ Male,-0.014643,0.017016,0.141592,0.155030,-0.004817,0.002013,-0.002199,0.002136
