OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
1057,MenMC,6,EAQHI,-0.005090256,0.004476839,0.255612625,0,0,,,,,,,,,,,,,,,,
1177,MenMF10,6,EAQHI,0.01210568,0.03398819,0.72173381,0,0,,,,,,,,,,,,,,,,
1297,MenF10,6,EAQHI,0.02986668,0.04523159,0.50910388,0,0,,,,,,,,,,,,,,,,
1417,MenM10,6,EAQHI,0.00160937,0.03945904,0.96746911,0,0,,,,,,,,,,,,,,,,
1537,MenMF60,6,EAQHI,0.00173229,0.003326041,0.602522747,0,0,,,,,,,,,,,,,,,,
1657,MenF60,6,EAQHI,0.004632142,0.0046199,0.316103552,0,0,,,,,,,,,,,,,,,,
1777,MenM60,6,EAQHI,-0.000807242,0.004408,0.854706459,0,0,,,,,,,,,,,,,,,,
1897,MenMF61,6,EAQHI,-0.003275158,0.007284623,0.653029341,0,0,,,,,,,,,,,,,,,,
2017,MenF61,6,EAQHI,-0.002644577,0.009734116,0.785884132,0,0,,,,,,,,,,,,,,,,
2137,MenM61,6,EAQHI,-0.004165749,0.010654509,0.695833916,0,0,,,,,,,,,,,,,,,,
98,MenA,7,EAQHI,0.003124513,0.003080098,0.310456947,0,0,,,,,,,,,,,,,,,,
218,MenF,7,EAQHI,0.003194543,0.004208035,0.44781533,0,0,,,,,,,,,,,,,,,,
338,MenM,7,EAQHI,0.003038722,0.004143172,0.463349054,0,0,,,,,,,,,,,,,,,,
458,MenAW,7,EAQHI,0.005359023,0.002814697,0.057004783,0,0,,,,,,,,,,,,,,,,
578,MenFW,7,EAQHI,0.003179282,0.003848335,0.408781833,0,0,,,,,,,,,,,,,,,,
698,MenMW,7,EAQHI,0.00732833,0.003910112,0.060991487,0,0,,,,,,,,,,,,,,,,
818,MenAC,7,EAQHI,-0.000517084,0.003407604,0.879398118,0,0,,,,,,,,,,,,,,,,
938,MenFC,7,EAQHI,0.002624859,0.004659902,0.573278326,0,0,,,,,,,,,,,,,,,,
1058,MenMC,7,EAQHI,-0.003430253,0.004444693,0.440309786,0,0,,,,,,,,,,,,,,,,
1178,MenMF10,7,EAQHI,0.01874939,0.03383449,0.57951362,0,0,,,,,,,,,,,,,,,,
1298,MenF10,7,EAQHI,-0.01701177,0.04474556,0.70382968,0,0,,,,,,,,,,,,,,,,
1418,MenM10,7,EAQHI,0.03793709,0.0393928,0.33559499,0,0,,,,,,,,,,,,,,,,
1538,MenMF60,7,EAQHI,0.004042861,0.003327266,0.224426531,0,0,,,,,,,,,,,,,,,,
1658,MenF60,7,EAQHI,0.006332961,0.004619479,0.1704917,0,0,,,,,,,,,,,,,,,,
1778,MenM60,7,EAQHI,0.002018354,0.004404824,0.64682857,0,0,,,,,,,,,,,,,,,,
1898,MenMF61,7,EAQHI,-0.003030652,0.007264835,0.676583228,0,0,,,,,,,,,,,,,,,,
2018,MenF61,7,EAQHI,-0.012301406,0.009736316,0.206514864,0,0,,,,,,,,,,,,,,,,
2138,MenM61,7,EAQHI,0.008333759,0.010597999,0.431717864,0,0,,,,,,,,,,,,,,,,
99,MenA,8,EAQHI,-0.000472461,0.003085433,0.878308052,0,0,,,,,,,,,,,,,,,,
219,MenF,8,EAQHI,0.000420352,0.004215577,0.920577547,0,0,,,,,,,,,,,,,,,,
